Era,Name,Notes,BPM,Song Key,Available Length,Quality,Link(s)
CONTACT ZANTHIN IF YOU HAVE ANY WAV's OR OG FILES FOR ANY INSTRUMENTALS,,,,,,,
ALL INSTRUMENTALS ARE THE EXACT ONES AND NOT REPRODS NOR ISOLATIONS,,,,,,,
,"CD Mixtape
(Mona Lisa)","(07/11/2013) (X plans to release the first track off the mixtape)
(11/02/2014) (The first song off of XXX UNMASTERED is released)",,,,"The CD Mixtape is X’s earliest known project, being developed in early 2013 and allegedly being released on X’s Facebook mid 2013, and being uploaded to CD’s. This tape was frequently talked about on X’s Twitter by X and his older friend, J $oul. The tape supposedly featured around 10-12 tracks on it, The tape is boom bap based, featuring X rapping with 90s influence and a hint of Jamaican.",
,Instrumentals,,,,,,
CD MIxtape,"Flock
(prod. TheOriginalBeat, Homi, & Tyler, The Creator)",Odd Future - Oldie,88,E Minor,Full,High Quality,https://drive.google.com/file/d/1kV-xq3_k1KTM885WC1ynRXh4SbyqsdJ9/view?usp=sharing
CD MIxtape,"News
(prod. Mixla)",Mixla - MOBB DEEP UNDERGROUND HIP HOP DARK INSTRUMENTAL,88,D Minor,Full,Lossless,https://drive.google.com/file/d/1YgiSKaqNMLkJBSlufXEOe5miSFlelUVa/view?usp=drive_link
CD MIxtape,"Ruff neck (snippet)
(prod. Wreckx-N-Effect, Aqil Davidson, Markell Riley & Walter ‘Mucho’ Scott)",MC Lyte - Ruffneck [Instrumental],102,D Minor,Full,CD Quality,https://drive.google.com/file/d/1dDI_iyXoqchigWOPi_5xKs49mSS1DmQR/view?usp=drive_link
,"XXX (UNMASTERED)
(XXX *unfinished*)","(11/02/2014) (The first song off of XXX UNMASTERED is released)
(06/03/2014) (The final track for XXX UNMASTERED is released)",,,,"X’s debut mixtape, XXX mainly consisted of his earlier songs from 2013 and 2014 on SoundCloud. “Vice City,” “al.one,” “M011Y,” “DEAD” and “THE END IS NIGH” were supposedly on the project but he ended up putting other songs he made instead. It has since been privated and a lot of songs were lost, but ""Vice City”, X’s oldest public song on his SoundCloud to this day, survived. More than half of the mixtape is leaked. The full version can’t be found anywhere on the Internet.",
,Stems,,,,,,
XXX (UNMASTERED),"DUTTY (Hi-Hat Loop)
(prod. Canis Major)","OG Filename: Cosmics Live Hi-hat Loop 8.wav
Hi-Hat loop used in DUTTY's instrumental.",,N/A,OG File,Lossless,https://drive.google.com/file/d/1x7kSMNzjl1sLOCPzgtemiWZXDoai65Mq/view?usp=drive_link
,Acapellas,,,,,,
XXX (UNMASTERED),"Palm Trees
(feat. Jajfaru, Nyora Spouse) (prod. ???)","Individual acapella's for the track leaked Jan 28th, 2023. However the exact instrumental is lost.",91,B Minor,OG File,Lossless,https://drive.google.com/drive/folders/1nRsPsq_Zul2DriUIWn73G9rvQi9xMo35?usp=drive_link
XXX (UNMASTERED),"Nyora Spouse - $LUMPED WHIP (SNIPPET UNMASTERED)
(feat. NewAge & XXXTENTACION) (prod. Kidrio)","Acapella for the track leaked July 13th, 2019 in a groupbuy",138,C Minor,OG File,Lossless,https://drive.google.com/drive/folders/1aT4oMsqX768DadVuOG8ljHL9k6mxRQch?usp=drive_link
,Instrumentals,,,,,,
XXX (UNMASTERED),"DEAD
(prod. ItsGoodBeats)",ItsGoodBeats - A$AP Ferg x A$AP Rocky x Kendrick Lamar Type Beat Instrumental,,,Full,High Quality,https://drive.google.com/file/d/1PySpqg9IFFco32CkCNd09U0DR2EuWuu6/view?usp=drive_link
XXX (UNMASTERED),"GANG CYPHER *FREESTYLE*
(feat. Ski Mask The Slump God, E BOOGIE, NewAge & Nyora Spouse) (prod. Spencer Bellamy)",Spencer Bellamy - Shady 2.0 Cypher - Instrumental,,,Full,CD Quality,https://drive.google.com/file/d/1nHkev0u3EXRRjAt0_zLdje5vZD1a0JQp/view?usp=drive_link
XXX (UNMASTERED),"M011Y
(prod. DJ PHATAALI)",DJ PHATAALI - TRIFFLIN HOES,,,Full,High Quality,https://drive.google.com/file/d/1CTM70EuTlrBnNPirCjEW-PySdSlsu6zY/view?usp=drive_link
XXX (UNMASTERED),"M011Y *FREESTYLE* *SLOPPED*
(prod. YXXXNZ & DJ PHATAALI)",DJ PHATAALI - TRIFFLIN HOES,,,Full,High Quality,https://drive.google.com/file/d/1CTM70EuTlrBnNPirCjEW-PySdSlsu6zY/view?usp=drive_link
XXX (UNMASTERED),"Nyora Spouse - $LUMPED WHIP (SNIPPET UNMASTERED)
(feat. NewAge & XXXTENTACION) (prod. Kidrio)","kidrio - Tyler The Creator - ""Leanin' In The Whip"" Type Beat",138,,Full,High Quality,https://drive.google.com/file/d/1Wr55J03rDqY9CM_wtmpZHvxcBILrp6oU/view?usp=sharing
XXX (UNMASTERED),"SDS *Snippet
(feat. Nyora Spouse) (prod. Flying Lotus)",Mac Miller - S.D.S (Official Instrumental),93,,Full,CD Quality,https://drive.google.com/file/d/1Sf481c8BbdMkeE8JV0rUxgjkfZiA2c10/view?usp=sharing
XXX (UNMASTERED),"vice city
(prod. Canis Major)","OG Filename: Beat 44 (vices).???
Canis Major - FREE BEAT - LOGIC TYPE [prod. Canis Major]
Chris Kent - Beat 44 (Vice)",87,,Full,High Quality,https://drive.google.com/file/d/1Qjp0ODy1kX7yKXktg3MpeLRi7nVQJnEm/view?usp=drive_link
XXX (UNMASTERED),"Whores On The Boards
(feat. Nyora Spouse) (prod. Kanye West)",Pusha T - Numbers On The Boards (instrumental),88,N/A,Full,CD Quality,https://drive.google.com/file/d/17Qn5uRP46JBVcEle_a1oXiYET9h-cfgi/view?usp=sharing
,Ice Hotel,(07/04/2014) (ICE HOTEL EP is released),,,,"XXXTENTACION’s second EP Ice Hotel, highlights some of his rarer material that is unavailable to most of the general public. Like most of his early tracks, it was said to have been deleted from SoundCloud for an unknown reason that X never revealed. but it was later discovered that the EP was privated. Ranging from somber tracks such as “0C3AN” and “Ice Hotel” to ominous ones such as “FUCK V2” and “sounds of the melting pot”, X’s versatility can be noted throughout the 8-track EP.",
,Instrumentals,,,,,,
Ice Hotel,"DUTTY
(prod. Canis Major)",Canis Major - Action Bronson x Harry Fraud Type Beat [prod. Canis Major],,,Full,High Quality,https://drive.google.com/file/d/1gI0eaQgWJWVGv_ZaAkbuBdvgu3P491Ih/view?usp=sharing
Ice Hotel,"(VERYRAREBOYZ)
(feat. Ski Mask The Slump God & Drugz)
(prod. Kaieffin Beatz)",Kaieffin Beatz - Tyler The Creator & Hodgy Beats Type Beat '594',,E Minor,Full,High Quality,https://drive.google.com/file/d/1h86dXQRp-oUOJLdBtk74Z0bgmMGEuTsi/view?usp=sharing
Ice Hotel,"0C3AN *clip*
(prod. MYRROR)",MYRROR - Brickz In Da Wall,,,Full,High Quality,https://drive.google.com/file/d/1wkQYzDf7MENhspus5dT2yn0nJM7Jti7Z/view?usp=drive_link
Ice Hotel,"Blood Stains
(feat. Ski Mask The Slump God & Drugz)
(prod. Sqvxlls)",Sqvxlls - Playstation 2 - Chris Travis x Ethelwulf x SpaceGhostPurrp Type Beat,106,,Full,Lossless,https://drive.google.com/file/d/14M2PSYCr5G5_zqcuhZeRGy1pyAMHdFsa/view?usp=drive_link
Ice Hotel,"Caviartears - Sad Shawty (Remix)
(feat. XXXTENTACION)
(prod. Howlings)","OG Filename: Howlings - Sad Shawty.wav
Howlings - Sad Shawty",,,OG File,Lossless,https://drive.google.com/file/d/10ZijipHsEnFa7iMqVRcmgwETc3dCVTYq/view?usp=drive_link
Ice Hotel,"cum
(feat. Lxuisavage & Spookyleann)
(prod. Terio)","OG Filename: cum & get yuh some.mp3
SpaceGhostPurrp - Cum & Get Yuh Some (Instrumental) remake",,,OG File,High Quality,https://drive.google.com/file/d/19DQVmldsG8DdLxNHbqh6FyrReHZQQhjA/view?usp=sharing
Ice Hotel,"FUCK V2
(feat. Ski Mask The Slump God)
(prod. Computofresh)","Computofresh - Yung Simmie X SpaceghostPurrp X Denzel Curry X Ethelwulf Type Beat ""Trippin""",,C Minor,Full,High Quality,https://drive.google.com/file/d/17rRJpbmhCjkiWFjPdjmgGC4B1gLIZsD_/view?usp=sharing
Ice Hotel,"ICE HOTEL (intro)
(feat. SZA) 
(prod. Sir CRKS & OfficialCDCN)","Sir CRKS - SZA - Teen Spirit (Chopped + Screwed)
OfficialCDCN - The Weeknd- Team Spirit (ft. Drake)",,,Full,High Quality,https://drive.google.com/drive/folders/1yM26iSjMNlXKox-LdSXLK19NuH5Y6ixz?usp=drive_link
Ice Hotel,"INUYASHA
(feat. drugz) 
(prod. Bitoy Beatz)",Bitoy Beatz - Butler,,,Full,High Quality,https://drive.google.com/file/d/1rkX4QvvHegBMUhYfxboOIHYQf9-1yLDe/view?usp=drive_link
Ice Hotel,"Zay $oul - Kick In The Door
(feat. XXXTENTACION)
(prod. DJ Premier)",The Notorious B.I.G. - Kick In The Door (Instrumental),90,,Full,Lossless,https://drive.google.com/file/d/1ZjVk3vD2HdOVJBkNHFBHQ2LSulSW3tI8/view?usp=drive_link
,e.motion,,,,,"The information on the “e.motion EP”, is extremely scarce. The only information left behind was its title, cover, and the song “Ecstasy”. The info was hidden within the depths of the internet until September 28th, 2022, when Discord user shots! discovered it. ",
,Instrumentals,,,,,,
e.motion,"3 AM freestyle
(prod. Clams Casino)",Clams Casino - I'm God,142,Db Major,Full,Lossless,https://drive.google.com/file/d/1VQzQA2g--Rx29ShfrPEHWZRd6253tf_T/view?usp=drive_link
e.motion,"Bluddy Katon freestyle
(prod. Purpdogg)",Purpdogg - WatchTheCloudsGoBy,,,Full,CD Quality,https://drive.google.com/file/d/1taZQp8sOyOogaJEif5xI8XuiqBFxZO15/view?usp=drive_link
e.motion,"catch
(prod. 40)",Drake - 0 to 100 / The Catch Up,177 ,,Full,CD Quality,https://drive.google.com/file/d/1uD49JIqr8ovPcLVd9EiuE7Wfsci3pQcp/view?usp=sharing
e.motion,"ecstasy
(feat. Anneka) 
(prod. XXYYXX)",XXYYXX - Overdone (Bonus Track),79,G Minor,Full,Lossless,https://drive.google.com/file/d/1TEO2FakbImkLHaP6DA4Y051STLaaOrcn/view?usp=drive_link
e.motion,"elegant
(prod. Kyle Stemberger & cight)","OG Filename: beach and lean.wav
cight & Kyle Stemberger - Ｚｅｎ ａｎｄ Ｌｅａｎ",95,C Minor,OG File,Lossless,https://drive.google.com/file/d/1XAXefT6LxXRDPC0VHn9E8V5Ug-QExQdk/view?usp=drive_link
e.motion,"sounds of the melting pot
(prod. HYDRO)","OG Filename: Hentai.mp3
Hydro - Hentai",,,OG File,CD Quality,https://drive.google.com/file/d/1elaLDayep5quu6cVQBcuSBOM2MAh3oQB/view?usp=drive_link
e.motion,"tokyo nostalgia
(prod. KayKayOnTheBeats)",KayKayOnTheBeats - TOKYO NOSTALGIA by KayKay The Producer - Hip Hop Instrumental Track,,,Full,High Quality,https://drive.google.com/file/d/1X05o89BWC2xLkGs1aazx4cl0Js0Z6OgW/view?usp=sharing
e.motion,"Who The Fuck Is God
(feat. Sully The Chief God & AbsentWill)
(prod. NSD)","NSD - ""Forgive Me God"" Joey Bada$$ type beat (Prod By. NSD)",,,Full,CD Quality,https://drive.google.com/file/d/1WN_5KnDMzYAjld9Mb7bwaB8mv87D9umT/view?usp=sharing
e.motion,"Au Flexgod - NERVOUS
(feat. XXXTENTACION)
(prod. JAYYEAH)",Original Instrumental,,,Full,High Quality,https://drive.google.com/file/d/1XBSa7-qDxKvQFpqCQouzgUM9vJSk1PV_/view?usp=sharing
,THE NOBODYS,,,,,"Often mistaken to be a collaborative project between X, Ski Mask, and producer YXXXNZ, ""THE NOBODYS"" mixtape was released in July 2014 before being updated once. The only confirmed tracks are uploads with the tape's cover and title being used on the songs' cover arts and descriptions. Later mentions of ""THE NOBODYS"" most likely refer to x, ski, and yan as a collective rather than a project.",
,Instrumentals,,,,,,
THE NOBODYS,"captain save a hoe
(feat. ziLLA)
(prod. The Dark Side & Teflon)","The Dark Side & Teflon - ""In The Cut"" (prod. By Teflon & Dark Side)",,,Full,High Quality,https://drive.google.com/file/d/1O4baTDekbg-i0AHUL0uhTWSGGX8ucY1Y/view?usp=drive_link
THE NOBODYS,"Dragonheart
(prod. L U X U R Y)",L U X U R Y - 1:03 AM,,,Full,High Quality,https://drive.google.com/file/d/1UKdfoEe1rg4BIP2kevrr29TiYiHkmXku/view?usp=drive_link
THE NOBODYS,"ghost in the shell
(feat. Nyora Spouse)
(prod. FALCO)","OG Filename: Ghost In The Shell (prod. FALCO).mp3
FALCO - Ghost In The Shell",,,OG File,CD Quality,https://drive.google.com/file/d/1rPngYxLZjUvMINzW1-QEN7ExAah-LBMd/view?usp=sharing
THE NOBODYS,"ghosts
(feat. Nyora Spouse) 
(prod. FALCO)","OG Filename: Ghost In The Shell (prod. FALCO).mp3
FALCO - Ghost In The Shell",,,OG File,CD Quality,https://drive.google.com/file/d/1rPngYxLZjUvMINzW1-QEN7ExAah-LBMd/view?usp=sharing
THE NOBODYS,"NOBODYS (intro)
(prod. No Doubt & XXXTENTACION)",No Doubt - Don't Speak (Live @ California 1997),,,Full,CD Quality,https://drive.google.com/file/d/1dQ_sQnw5Ml-DczXiOQwvLpjfA_nR7cVp/view?usp=drive_link
THE NOBODYS,"Ski Mask The Slump God - zones
(feat. XXXTENTACION)
(prod. Cosmastly & FALCO)",Cosmastly X Falco - OceanFire,,,Full,CD Quality,https://drive.google.com/file/d/1BEHU-2cE9WfsRutZcGBBs8g03qMqB-uH/view?usp=drive_link
THE NOBODYS,"sounds of the melting pot (YXXXNZ TWIST)
(prod. HYDRO & YXXXNZ)","OG Filename: Hentai.mp3
Hydro - Hentai",,,OG File,CD Quality,https://drive.google.com/file/d/1elaLDayep5quu6cVQBcuSBOM2MAh3oQB/view?usp=drive_link
,The Fall,,,,,,
,Instrumentals,,,,,,
The Fall,"J $oul - Angels 2 Demons [V1]
(Daemons)
(feat. XXXTENTACION)
(prod. ChansliN)",ChansliN - Kanye West Type Beat x (FREE) x [Prod: ChansliN],170,,Full,High Quality,https://drive.google.com/file/d/14ElutVMLiw0kTIil07LIFfPVllcN6CIT/view?usp=sharing
The Fall,"OKAGE THE SHADOW KING
(prod. GF Retro)","OG Filename: Dakimakura Dreamscape.wav
GF Retro - DAKIMAKURA DREAMS // TRACK X2",97,F Minor,OG File,Lossless,https://drive.google.com/file/d/1Q7nTrFv7ugA5eN9jY4blO1DRJz3zIXnL/view?usp=drive_link
The Fall,"WHO SHOT YA
(prod. Diddy & Nashiem Myrick)",The Notorious B.I.G. - Who Shot Ya (Instrumental),92,,Full,Lossless,https://drive.google.com/file/d/1ye1mQgVE-UrmAFmJbAz02z1fgjwnSXBk/view?usp=drive_link
The Fall,"NEVER
(prod. Aesthesys)",Aesthesys - Dreams Are Only Real As Long As They Last,105,,Full,Lossless,https://drive.google.com/file/d/1IjQP7aoQ4A1UYTAt_yfW8Gne4_KLQ8f6/view
The Fall,"i wanna be a witch (cover)
(prod. Gabby Wade)",Gabby Wade - i wanna be a witch - teen suicide (cover),134,C Major,Full,CD Quality,https://drive.google.com/file/d/1B292CPdlDx5tt2tFIWQIa9he7u-5H9Md/view?usp=drive_link
The Fall,"white girl
(prod. Kid Indigo & BLVC SVND)",BLVC SVND & Kid Indigo - YOU AGAIN,,,Full,Lossless,https://drive.google.com/file/d/1hrqL_lLZdSdLgJnyZ5CT1vC4cRqd4MUK/view?usp=drive_link
The Fall,"FUCKABITCHFACE
(prod. Kid Indigo)",Kid Indigo - Drain,,,Full,High Quality,https://drive.google.com/file/d/1BMDesC4RhF2-VYc2wVkxQo_RY7PWJUM0/view?usp=drive_link
The Fall,"Cadillac Boys - Mega Man
(feat. XXXTENTACION & Ski Mask The Slump God)
(prod. Kid Indigo)",Kid Indigo - Crystals,,,Full,High Quality,https://drive.google.com/file/d/16FtU5jxVybdwT3gkFOWrc8LApCg490Pc/view?usp=drive_link
The Fall,"pistol (snippet)
(prod. ROBSON)",ROBSON - BASED /SPACEGHOSTPURRP Dj Smokey /RARE PHONK SHYT,,,Full,High Quality,https://drive.google.com/file/d/1RDZBXMTvxmlvwl74c0LeiMFZXHRNJ-2S/view?usp=sharing
The Fall,"The Fall
(prod. Eera)",sventene - Holy Sword,,,Full,High Quality,https://drive.google.com/file/d/1SFNMxp_6_0ET7x-4UEU3W1ON5r3QH-Ri/view?usp=drive_link
The Fall,"ghost
(prod. surrenderdorothy)","OG Filename: heldaghost 2.mp3 
surrenderdorothy - heldaghost",170,,Full,CD Quality,https://drive.google.com/file/d/1xHhKBi6pSEusI19eDeRRWhANga5GgBXC/view?usp=drive_link
The Fall,"??? - Life Can Wait
(feat. XXXTENTACION)
(prod. Rednarf)",Rednarf - Life Can Wait,,,Full,High Quality,https://drive.google.com/file/d/1Gqn9Cv2swNKRVFKeFdQiLbjFD8kWsM44/view?usp=sharing
,♡ ʳ ᵃ ʳ ᵉ ♡,,,,,,
,Acapellas,,,,,,
♡ ʳ ᵃ ʳ ᵉ ♡,"Au Flexgod - A Nigga Like You
(feat. XXXTENTACION)
(prod. xGOD.LIFEx)","Acapella for the track leaked Jan 28th, along with its instrumental and 3 Demos.",,,Full,CD Quality,https://drive.google.com/file/d/1CaWLd65dXYzP1N8PHOGG9ySr6XH70Eag/view?usp=drive_link
,Instrumentals,,,,,,
♡ ʳ ᵃ ʳ ᵉ ♡,"a message to tina belcher
(prod. Fifty Grand)","OG Filename: Angeles Crest Highway.wav
Fifty Grand - Angeles Crest Highway",,,OG File,Lossless,https://drive.google.com/file/d/1a-oS8qRwCI2NFuI-pOBFFRa_fXyV-ZgF/view?usp=drive_link
♡ ʳ ᵃ ʳ ᵉ ♡,"alone
(prod. greaf)",greaf - I Can't Save You,,,Full,High Quality,https://drive.google.com/file/d/1kmCZy6He3VD-SpWRTJAg2HHyny5gYfAg/view?usp=drive_link
♡ ʳ ᵃ ʳ ᵉ ♡,"ALONE PART 2
(prod. Lil Netzero)","OG Filename: xavier.mp3
Lil Netzero - ミＦｒｏｚｅｎ Ｓｅａミ",,,OG File,CD Quality,https://drive.google.com/file/d/1PMQ8yXuW7ploSlgIbQxNFgowXxJ_0hYt/view?usp=drive_link
♡ ʳ ᵃ ʳ ᵉ ♡,"blasted
(prod. Fifty Grand & CH4RM)",CH4RM & Fifty Grand - The People You Love (CH4RM Flip),,,Full,Lossless,https://drive.google.com/file/d/1p-HK2Zhxghd1IXjfCKkzaxznZaU3FzJ7/view?usp=drive_link
♡ ʳ ᵃ ʳ ᵉ ♡,"Cadillac Boys - BOOFPACK 
(prod. KurtisBased & XXXTENTACION)",KurtisBased - XAVIER WULF X DA$H AND RETCH TYPE BEAT(FREE) prod.KB,,,Full,CD Quality,https://drive.google.com/file/d/1kVr4i1TVGDiNS3NwClqRN2_m8tstG7KN/view?usp=sharing
♡ ʳ ᵃ ʳ ᵉ ♡,"R U N
(prod. greaf)",greaf - Here,,,Full,High Quality,https://drive.google.com/file/d/12oyn7rFzUTx0RjZa5HccxjTsbUaa1ABX/view?usp=drive_link
♡ ʳ ᵃ ʳ ᵉ ♡,"rare
(prod. Fifty Grand)",Fifty Grand - Severed Arm,,,Full,High Quality,https://drive.google.com/file/d/1PqdEM1FOXmPm9XDk6VnZGeLbTyGoD2PV/view?usp=drive_link
♡ ʳ ᵃ ʳ ᵉ ♡,"rare (Remastered Instrumental)
(prod. Fifty Grand)","OG Filename: severed arm REMASTER.wav
Fifty Grand - Severed Arm",,,OG File,Lossless,https://drive.google.com/file/d/1VRhJNbUVhuCXal7aICjYprO5NKGdha2R/view?usp=drive_link
♡ ʳ ᵃ ʳ ᵉ ♡,"Au Flexgod - A Nigga Like You
(feat. XXXTENTACION)
(prod. xGOD.LIFEx)","xGOD.LIFEx - Bones x Xavier Wulf x Yung Lean- ""A Better Place"" (Type Beat) Prod xGOD.LIFEx",,,Full,CD Quality,https://drive.google.com/file/d/1BHnn7Vxyu1WfQdNBR6FmCxGnxODQj-wp/view?usp=drive_link
,"Red Light District
(Heartbreak Hotel)",,,,,,
,Stems,,,,,,
Red Light District,"red light lie (intro) (Bassline)
(prod. YXXXNZ & XXXTENTACION)","OG Filename: ,BASS LINE.m4a
Bassline for red light lie (intro).",,,OG File,High Quality,https://drive.google.com/file/d/1FemWU080u6aFdFwskalgSlzZcglNdouG/view?usp=drive_link
,Instrumentals,,,,,,
Red Light District,"Clarity (Snippet)
(prod. Sly C)","Sly C - SpaceGhostPurrp Type Beat ""Produced: Sly C""",,,Full,High Quality,https://drive.google.com/file/d/1ySC7NW63ZJEinIva15g83vCvpUKnhIIy/view?usp=drive_link
Red Light District,"leave
(prod. little cloud)",little cloud - jealous girlfriend,,,Full,High Quality,https://drive.google.com/file/d/1-2rq2TRn1doA9bn7PWxtywRXjT3xxL7s/view?usp=sharing
Red Light District,"Love (Interlude)
(prod. BYOU$)",BYOU$ - Bones Xavier wulf type beat - Marylin Manson sample,,,Full,High Quality,https://drive.google.com/file/d/1XZl_ep1QoWpld6NQXRC54f7aDBNnJ0oQ/view?usp=sharing
Red Light District,"skin 
(prod. little cloud)",little cloud - Tapeloop #1 ~winter 2008-2009,,,Full,Lossless,https://drive.google.com/file/d/1bNWrLDzRutBB9w0ObkJY7Nx7To7PdtVw/view?usp=drive_link
Red Light District,"Zay $oul - pab moob
(feat. XXXTENTACION)
(prod. NICKFLYFL)",NICKFLYFL - Mimialist,,,Full,High Quality,https://drive.google.com/file/d/1_4Y4rJgjro031dqlznNJAVj2mXOQp-rR/view?usp=drive_link
,"Members Only Vol. 1
(Collaboration with Ski Mask The Slump God)",,,,,,
,Stems,,,,,,
Members Only Vol. 1,"Nyora Spouse - PRIME TIME (Stems)
(feat. XXXTENTACION & Ski Mask The Slump God)
(prod. InfamousLegends)",Confirmed to exist and is being held by Vlone.,,,Confirmed,Not Available,https://drive.google.com/file/d/1aJQXlNN3eubOOHvIdvqi09vPw4ZPXZ8R/view?usp=drive_link
Members Only Vol. 1,"TELL BUKKWEAT SUCK MY DICK (Instrumental Stems)
(RUN UP ON ME)
(prod. WILLIE G & Grouchy VanGogh)","Instrumental Stems that were leaked before but new ones came around on February 26th, 2024",,,Full,Lossless,https://drive.google.com/drive/folders/1_joV7JRv6ZjJMIzvT-LGeyn73yAXkqap
,Instrumentals,,,,,,
Members Only Vol. 1,"Amy Winehouse
(prod. WILLIE G)",WILLIE G - Undermine,,,Full,Lossless,https://drive.google.com/file/d/1E3JytNmjEH7vApkYDaneFGjUAak8UvNl/view?usp=sharing
Members Only Vol. 1,"Freddy vs Jason (V2)
(feat. Ski Mask The Slump God)
(prod. WILLIE G)",WILLIE G - Radiant,,,Full,Lossless,https://drive.google.com/file/d/1ANmBMvAzEmY_0cyvTerflii4KBrjj63c/view?usp=drive_link
Members Only Vol. 1,"FUXK
(feat. Ski Mask The Slump God)
(prod. WILLIE G)",WILLIE G - Sanctuary,,,Full,Lossless,https://drive.google.com/file/d/18AuT9NaSGp8eA12ZwjAuNnfsRfkToLUq/view?usp=drive_link
Members Only Vol. 1,"GXD DAMN
(feat. Ski Mask The Slump God)
(prod. *StarTheKidd)","*StarTheKidd - Free OG Maco Type Beat - ""Black Diamond""",,,Full,Lossless,https://drive.google.com/file/d/10r_SB_UjT2lkbfcUr5d7MEna-2S0eDEg/view?usp=drive_link
Members Only Vol. 1,"I & M
(prod. MYRROR)",MYRROR - oblockbangbang,,,Full,CD Quality,https://drive.google.com/file/d/1ORU_Y2BN3FDQuI-n1SAR6Yt0bfsvdbTb/view?usp=drive_link
Members Only Vol. 1,"Nyora Spouse - NIghtmareZ
(feat. XXXTENTACION)
(prod. WILLIE G)",WILLIE G - Travel,,,Full,Lossless,https://drive.google.com/file/d/1NY2QpwiCmlc9RccGL8NJDHdr08ZNxVs_/view?usp=drive_link
