Era,Name,Notes,BPM,Song Key,Available Length,Quality,Link(s)
Members Only Vol. 1,"Nyora Spouse - PRIME TIME
(feat. XXXTENTACION & Ski Mask The Slump God)
(prod. InfamousLegends)",InfamousLegends - French Inhale,,,Full,High Quality,https://drive.google.com/file/d/126dtQYeigW4RGPSqR3kELyUupz1clmOA/view?usp=drive_link
Members Only Vol. 1,"RestInPussy!
(prod. WILLIE G)","ordinary.wav
WILLIE G - Ordinary",,,Full,Lossless,https://drive.google.com/file/d/1tRpvD4P0KCQxUP3WuS2ers12ZuaykxrB/view?usp=drive_link
Members Only Vol. 1,"Ski Mask The Slump God - Planet Drool
(feat. XXXTENTACION)
(prod. WILLIE G)",WILLIE G - Sakura,,,Full,Lossless,https://drive.google.com/file/d/11yJi7Y5hiBVY4MbjZWftX_sjUXZkqM6E/view?usp=drive_link
Members Only Vol. 1,"Teeth (Interlude)
(prod. WILLIE G)","no.wav
WILLIE G - No",,,Full,Lossless,https://drive.google.com/file/d/1ZUsf5Ehwuwr3qOLhPSh8Ya4knnYhnapI/view?usp=drive_link
Members Only Vol. 1,"TELL BUKKWEAT SUCK MY DICK (SNIPPET)
(RUN UP ON ME)
(prod. WILLIE G & Grouchy VanGogh)","OG Filename: Furniss GVG X WG Selected.wav
WILLIE G & Grouchy VanGogh - Furniss ",106,G Minor,OG File,Lossless,https://drive.google.com/file/d/1DKqLGkOPfM1Q9kiaHcabykVnhcREKg3T/view?usp=drive_link
,"Members Only Vol. 2
(Collaboration with Ski Mask The Slump God)",,,,,,
Members Only Vol. 2,"BitchCallMeCaptainMorgan
(prod. trbld Boy)","OG Filename: VARUNA.mp3
trbld boy - morgan",,,Full,CD Quality,https://drive.google.com/file/d/1Ab32zI2A_y4gsCtz1WDjAd13VtFhpNRh/view?usp=drive_link
Members Only Vol. 2,"Caution (Snippet)
(prod. prxz & Kellbender)","OG Filename: PYSCHOTIC.wav
prxz - psychotic [w/KELLBENDER]",120,C Minor,OG File,Lossless,https://drive.google.com/file/d/1UBlAu5WTiWkw8SXOShFmNN9WAEW9ubL5/view?usp=drive_link
Members Only Vol. 2,"Chapter 1
(prod. Fifty Grand & Kellbender)","OG Filename: Moon Asking to Stay (w Kellbender).wav
FIFTY GRAND - Moon Asking To Stay (kellbender remix)",,,OG File,Lossless,https://drive.google.com/file/d/1xzwIAezgIaJVC6BZeBpJorzWw5wxxbC8/view?usp=drive_link
Members Only Vol. 2,"HOTBOYCALEB - Netflix And Chill [V2]
(feat. XXXTENTACION & Ski Mask The Slump God)
(prod. G5Kid)",Soulja Boy - Pretty Boy Swag (Instrumental),,,Full,CD Quality,https://drive.google.com/file/d/1WS7t5Kj-UkcW-XYXfJLaO4pfF0V644gP/view?usp=drive_link
Members Only Vol. 2,"I am!
(prod. DJ PATT)",DJ PATT - FREE TM88 FLP TYPE BEAT *2015* Check desc.,,,Full,CD Quality,https://drive.google.com/file/d/1Sb_Z0o4IfsLDifHhG1wn15DBvMwjw-pc/view?usp=drive_link
Members Only Vol. 2,"TheresAnElephantInTheRoom (Acoustic Version)
(prod. drew the architect)","growing tired now.wav
drew the architect - growing tired now",,,Full,Lossless,https://drive.google.com/file/d/1p4-6Px6P369_wf4Qv1NKPZ4zM_1LaI6Q/view?usp=drive_link
Members Only Vol. 2,"King Of The Dead
(prod. HELLION & Fifty Grand)",HELLION - BATTLE CRY (w/ FIFTY GRAND),,,Full,CD Quality,https://drive.google.com/file/d/1IHK_zHcWLC9VI-zfUgC_jz7tyE1f_WCO/view?usp=drive_link
Members Only Vol. 2,"LUNACY
(feat. ENZO!)
(prod. ENZO!)",Original instrumental,,,Full,High Quality,https://drive.google.com/file/d/1XNK2T9KjKXCOW6xdrCQUIvrSn9ET7a2G/view?usp=drive_link
Members Only Vol. 2,"NETHERRACK - I Just Wont Break
(prod. Neid)",neid - kids,,,Full,High Quality,https://drive.google.com/file/d/1hHBg6JQPAwIEkrMGFegZmEpghEeG4kBo/view?usp=drive_link
Members Only Vol. 2,"Rare, Part 2
(prod. Lirker)","Lirker - Joey Bada$$ Type Beat - ""Adolescent"" (prod. Lirker)",,,Full,Lossless,https://drive.google.com/file/d/1oDEefgabTnB01Xtqt9Ed12QLWyjLDJ4h/view?usp=drive_link
Members Only Vol. 2,"RIOT
(prod. Luke White)",Luke White - Joey Bada$$ Type Beat - Tired (prod. Luke White),,,Full,CD Quality,https://drive.google.com/file/d/1alJMZXVXzthOH-9TSVzDET8v13e0Rxfw/view?usp=sharing
Members Only Vol. 2,"Save Me
(feat. Yaprak Asimov)
(prod. Yaprak Asimov)",Original instrumental,,,Full,High Quality,https://drive.google.com/file/d/1t5ON8rnkvJ7IQP0h-JoSuJVW32bURGTV/view?usp=drive_link
Members Only Vol. 2,"Save Yourself
(feat. Kilo Jr, 1Hunnitjunior & Ski Mask The Slump God)
(prod. 808 Mafia & Melzi)","Melzi - ""No Purpose"" TM88/Metro Boomin/Young Thug/Yung Sizzle Type Beat [prod. By @KMelzi]",,,Full,High Quality,https://drive.google.com/file/d/1UhtScyCD59mZRXgn3XsiEep4YEHAf0hT/view?usp=sharing
Members Only Vol. 2,"SHUT UP (Snippet) [V1]
(prod. acidbrain)",AcidBraiᶯ - Fly As A Missle [Thanks for 2K],,,Full,High Quality,https://drive.google.com/file/d/1Y33Z0X58ahfHdYAvii647JwM-1CLhMYn/view?usp=sharing
Members Only Vol. 2,"Ski Mask The Slump God - Broly
(feat. XXXTENTACION)
(prod. DJ Mooskie)","OG Filename: 808GOD.mp3
DJ Mooskie - Young Thug X TM88 X Metro Boomin X ??? ""???""",119,Bb Minor,OG File,CD Quality,https://drive.google.com/file/d/1AkMfTmh4PMvREvib2v88qoAFI5NBTAEt/view?usp=drive_link
Members Only Vol. 2,"Tay - Crush
(feat. XXXTENTACION)
(prod. Fuckboy Tay & CavalierSound)","??? - ???
Cavalier - Masks",,,Partial,High Quality,https://drive.google.com/file/d/1cfO-zK-Zb_2SnJlj5R1RFoVLwFVtecek/view?usp=drive_link
Members Only Vol. 2,"TheresAnElephantInTheRoom (Acoustic Version)
(prod. drew the architect)",drew the architect - growing tired now,,,Full,Lossless,https://drive.google.com/file/d/1p4-6Px6P369_wf4Qv1NKPZ4zM_1LaI6Q/view?usp=drive_link
,KIDS,,,,,,
,Stems,,,,,,
KIDS,"ILOVEITWHENTHEYRUN (Sample)
(feat. Yung Bans & Ski Mask The Slump God)
(prod. Elijah Made It)","OG Filename: FX - Sweet chaos 2.wav
Original sample used in the track.",,,OG File,Lossless,https://drive.google.com/file/d/1-PRfRwlYH4pQodRB-af-NnagIAmtK3C-/view?usp=drive_link
,Instrumentals,,,,,,
KIDS,"GNARLY BASTARD
(prod. The Virus and Antidote)",,,,Full,CD Quality,https://drive.google.com/file/d/1YEa-lHAYXPIqmYwvlAOWk8eyYWywftBD/view?usp=sharing
KIDS,"Gnarly Freestyle!
(prod. KHAED)","OG Filename: trappope.mp3
KHAED - TRAP POPE",,,OG File,CD Quality,https://drive.google.com/file/d/1uxK42h5mXDN6ikIQKSfVMIBQXweLjlXE/view?usp=drive_link
KIDS,"GnarlyGuyAnthem! (Hell Version)
(feat. Ski Mask The Slump God)
(prod. AKATrae)",AKATrae - HOT TM88 Type Beat Heavy Metal Hip Hop Beat Instrumental,,,Full,CD Quality,https://drive.google.com/file/d/1nyXdmu93FTea7E46xsaEOURfNY_43_T-/view?usp=drive_link
KIDS,"IGOTPLENTYDICKTOSHARE (SNIPPET) [V2]
(prod. NBOMe)","OG FIlename: fuckshit.wav
NBOMe - it'swhatever",,,Full,CD Quality,https://drive.google.com/file/d/1y7EIeOz3c9tSg6SoYpvhCufeLyKJGSiP/view?usp=drive_link
KIDS,"ILOVEITWHENTHEYRUN
(feat. Yung Bans & Ski Mask The Slump God)
(prod. Elijah Made It)",Soulja Boy - Plug Talk Instrumental,,,Full,High Quality,https://drive.google.com/file/d/1YraJdWXDGBKNzHf3QF0haJGPZgXqPBVw/view?usp=drive_link
KIDS,"LET'S PRETEND WERE NUMB
(prod. KHAED)","Waifu's Prayer.mp3
KHAED - Waifu's Prayer",,,Full,High Quality,https://drive.google.com/file/d/1F4etb3uBk2eJz75vvVwBPjaFLZr-ZIcJ/view?usp=sharing
KIDS,"Ski Mask The Slump God - Fatality (Snippet)
(Joseph Barnes Team)
(feat. XXXTENTACION)
(prod. BraveStarr)",$tash Guapo - Team prod. Bravestar,,,Full,High Quality,https://drive.google.com/file/d/19noLmZu-Kn1Squ4KhYKWEXo_WioSzEab/view?usp=sharing
KIDS,"Ski Mask The Slump God - IWATCHEDHIMDROWN (INTRO)
(feat. XXXTENTACION)
(prod. YoungFlow305)",Ski Mask - My Slime ( prod.By.Dr.Flow),115,,Full,High Quality,https://drive.google.com/file/d/1rMPFz1WcqCTmeqcyqFbMEqPGjixA1off/view?usp=drive_link
KIDS,"WitDemDicks!
(prod. Slight & Prxz)","prxz2.mp3
Slight - CODEX w/ prxz",,,Full,CD Quality,https://drive.google.com/file/d/1KTC5iy4JQzk0NCkYT1EKyGGozStMI6or/view?usp=drive_link
KIDS,"you're thinking to much, stop It
(prod. trbld Boy)",trbld boy - blue for beauty,,,Full,CD Quality,https://drive.google.com/file/d/1n1EXQE7_Ldq-MWB_wEq3VOsaPiaj1SRm/view?usp=drive_link
,"ItWillAllBeOverSoon
(ItWasntEnough, WILLY WONKA WAS A CHILD MURDERER)",,,,,,
IWABOS,"Snow
(feat. Killstation)
(prod. Killstation & Nine Inch Nails)",Killstation - Snow,71,Bb Major,Full,CD Quality,https://drive.google.com/file/d/16zU9sdS6117W53THF6IJNJMAEVAZzssJ/view?usp=drive_link
IWABOS,"I don’t wanna do this anymore [V2]
(prod. KHAED & XXXTENTACION)",NOVA - Whitley,,,Full,CD Quality,https://drive.google.com/file/d/1gjfCYTpRbv0SEyqp41qgMbfTAz64ChYC/view?usp=sharing
IWABOS,"TAKE A STEP BACK
(feat. Ski Mask The Slump God)
(prod. RONNY J)","OG Filename: FUCKEDUP XXXSKI.mp3 
Original Instrumental",,,OG File,High Quality,https://drive.google.com/file/d/1JAX3Vj1a7PXupa_uFmNimnMDFbm7X41k/view?usp=drive_link
,Bad Vibes Forever,,,,,,
Bad Vibes Forever,"a helping hand, not a song",Palace - Head Above The Water,114,G Minor,Full,Lossless,https://drive.google.com/file/d/19aE-n3FMt5id3X6qNAnKE1j5DV-JQd_g/view?usp=drive_link
Bad Vibes Forever,"tightrope
(feat. Scott James)
(prod. Scott James)","OG Filename: Ropes__mastered 12-10-2015.wav
Scott James - ropes",,,Full,Lossless,https://drive.google.com/file/d/1t0I7VIe6I_MzWtoU2prPtrwMxU69Tvjy/view?usp=drive_link
Bad Vibes Forever,"Cracka Paul - Bodies
(feat. XXXTENTACION & Lxrd Hippy)
(prod. Peso Piddy & DJ Patt)","OG Filename: DJ PATT x PEO PIDDY.mp3
Original Instrumental",125,,OG File,CD Quality,https://drive.google.com/file/d/1_eN58gSkWUtoM9MQp064iQxxAmx6DFGu/view?usp=sharing
,Members Only Vol. 3,,,,,,
,Instrumentals,,,,,,
Members Only Vol. 3,"H2O
(feat. Ski Mask The Slump God)
(prod. KHAED)","OG Filename: street vighter MP3.mp3
KHAED - Street Vighter",70,F Minor,OG File,CD Quality,https://drive.google.com/file/d/14lBKLvz02lCO-aiR5N1BvrWlNKL02TTE/view?usp=drive_link
Members Only Vol. 3,"Supra
(feat. Kin$oul)
(prod. Benji Arm$trong & Alex Freedo)","OG Filename: Supra x Alex Freedo.mp3
Original Instrumental",,,OG File,CD Quality,https://drive.google.com/file/d/1PWlZ9SMYu4Oyt5tW7Q7xhGEAZnzrlva3/view?usp=drive_link
Members Only Vol. 3,"Curse
(feat. Cooliecut, Kin$oul & Bass Santana)
(prod. Bass Santana)",Original Instrumental,,,Full,CD Quality,https://drive.google.com/file/d/1AJE6QDaB_TwWzBh6OT60SrN_jlzKALKZ/view?usp=drive_link
Members Only Vol. 3,"Slipknot
(feat. Kin$oul & Killstation)
(prod. P. Soul)",P. Soul - Nobody,,,Full,CD Quality,https://drive.google.com/file/d/1I6aokD0g5spD_uiABvouJRLj4A8VXbCc/view?usp=sharing
Members Only Vol. 3,"Ugly God - Get Off My Dick
(prod. PARISVVS)","NEW UGLY GOD BOOSTED.mp3
Original Instrumental",,,Full,CD Quality,
,17,,,,,,
,Stems,,,,,,
17,"Ok Shorty! [Drum Stems]
(prod. Dub Tha Prodigy & Natra Average)",Drum stems released onto Bandlab.,,,Full,Lossless,https://drive.google.com/drive/folders/1k5nYSn6tODF9042Q7RqITTCNTKYvYg4c?usp=drive_link
17,"Save Me [Drum Stems]
(prod. Dub The Prodigy & Natra Average)",Drum stems released onto Bandlab.,71,,Full,Lossless,https://drive.google.com/drive/folders/1t4mU-n_9Do98gmTDQrcvLLzDboNM3lKr?usp=drive_link
,Instrumentals,,,,,,
17,"Jocelyn Flores
(prod. Potsu)","im closing my eyes.wav
potsu - i'm closing my eyes",134,C Minor,Full,Lossless,https://drive.google.com/file/d/1TmzMruMWF6U-wKEIUo3_IpwttpgkdmJj/view?usp=drive_link
17,"Kodak Black - Roll In Peace
(feat. XXXTENTACION)
(prod. Nils, Hector Chaparro, CuBeatz & London On Da Track)","OG Filename: Not Yo Speed-Instrumental V4 CD.mp3 
Original Instrumental",,,OG File,CD Quality,https://drive.google.com/file/d/1HP5_-tCphHvPWw79z7FKyuEIc2SeO9bh/view?usp=drive_link
,"A GHETTO CHRISTMAS CAROL
(UGLY, I Need Jesus)",,,,,,
A GHETTO CHRISTMAS CAROL,"hate will never win
(prod. J Dilla)",J Dilla - Life,,,Full,CD Quality,https://drive.google.com/file/d/1s9BLM57pNn0lK2-31a7UqwXhZUYFQKCy/view?usp=drive_link
,?,"(28/01/2018) (X posts a picture of the cover art with the caption ""coming soon"")",,,,,
,Sessions,,,,,,
?,NUMB - Piano Sessions,,,,Full,Lossless,https://drive.google.com/file/d/1PRl-XwwOtP3ouKNqYFnr6AHdDqad2PbT/view?usp=drive_link
?,changes,,,,Full,Lossless,
,Stems,,,,,,
?,SAD! [Melody Loop Stem],"OG Filename: OS_FT_150_G_Grainy_Release.wav
SAD!'s melody loop sample found on Splice by ZZERO. Sample was ripped by ZZERO on June 10th 2024.",150,G# Major,Full,Lossless,"https://splice.com/sounds/sample/7f1f79165e975b557a56eac4d89c0887a9d2bedda44b11895df1c5c01761d7b3/origin-sound-trap-synth-hip-hop-chords-trap-sample
https://drive.google.com/file/d/1i3zgCIRGkm8n2sNQvMRUtJTULG5PsPQt/view?usp=drive_link"
?,SAD!,Sad Stems,,,Full,Lossless,https://drive.google.com/drive/folders/1BjoIzXQQQ-gcMIFtDNvzaBDq4rzX-yN3
?,the remedy for a broken heart (why am i so in love),the remedy for a broken heart Stems,,,Full,Lossless,https://drive.google.com/drive/folders/1x3i192qk-SC306IEIFRbKeft6FPfYjJz
?,changes,Changes Stems,,,Full,Lossless,https://drive.google.com/drive/folders/1KQqSPxeUC5qmC2lCpihTzwYrSdnb9sfG?usp=drive_link
?,Hope,Hope Stems,,,Full,Lossless,https://drive.google.com/drive/folders/19XNxCFa_RwUyk6-dKyFdICL3rS1C5GYx
?,Lil Wayne - Don't Cry,Don't Cry Stems,,,Full,Lossless,https://drive.google.com/drive/folders/1Tp2C5z5UMlQ-fuKhptgw2UVWAtM561_D
?,Moonlight,Moonlight Stems,,,Full,Lossless,https://drive.google.com/file/d/1-7fLdQYY8Nf0MntSTeWItatSccX3myqL/view?usp=drivesdk
?,The Edge,The Edge Stems with X added production,,,Full,Lossless,
,Instrumentals,,,,,,
?,"HOPE
(prod. John Cunningham)",Original Instrumental,,,Full,Lossless,https://drive.google.com/file/d/1KJNavz5wyUgDGTeiqVEOd5oKRqn5pjBa/view?usp=sharing
?,"SAD!
(prod. John Cunningham)",Original Instrumental,,,Full,Lossless,https://drive.google.com/file/d/1RgZCrnr_Cjsr9mUdCctCam5HmtRq-H9I/view?usp=sharing
?,"changes
(feat. Pnb Rock)
(prod. John Cunningham)",Original Instrumental,,,Full,Lossless,https://drive.google.com/file/d/1FPUl0nqKto8jZKf0dmuei5Ajbyrirbrh/view?usp=sharing
?,"King's Dead (Freestyle)
(feat. Joey Bada$$)
(prod. Saint Joe)",Original Instrumental,,,Full,CD Quality,https://drive.google.com/file/d/1_WbKsOYYsrgMp0abkQZVK2ZTB-2bQoJO/view?usp=drive_link
?,"Gekyume (Freestyle)
(prod. Gum$) ",,,,Full,CD Quality,https://drive.google.com/file/d/1ywlHsbdzzinHCW_jVkJ4U5h3nA3uv9gB/view?usp=drive_link
?,"ALONE, PART 3
(prod. John Cunninghamn & Robert Soukiasyan)",Original Instrumental,,,Full,Lossless,https://drive.google.com/file/d/1fGjq2m983CWdyfgNUuiPamuCylGaSPCG/view?usp=sharing
?,"Moonlight
(prod. John Cunningham)",Original Instrumental,,,Full,Lossless,https://drive.google.com/file/d/1PEuS9JJlANwDPrO8DgO2sbyHzyff339G/view?usp=sharing
?,"the remedy for a broken heart (why am i so in love)
(prod. XXXTENTACION & John Cunningham)",Original Instrumental,,,Full,Lossless,https://drive.google.com/file/d/1u7Vtdnn-9C-y5jHDkjs3Jl_1tr0xJlxS/view?usp=sharing
?,"Floor 555
(prod. DELL SODA)",Original Instrumental,,,Full,Lossless,https://drive.google.com/file/d/1iQatnfsMk21mP5-N478aR2GfbFXLFNwF/view?usp=sharing
?,"NUMB
(prod. John Cunninghamn & Robert Soukiasyan)",Original Instrumental,,,Full,Lossless,https://drive.google.com/file/d/15iyUsFlk62yja5AbnMe6TApQmqkunDUz/view?usp=sharing
?,"Infinity (888)
(feat. Joey Bada$$)
(prod. P. Soul)",Original Instrumental,,,Full,Lossless,https://drive.google.com/file/d/1YSuwzUty2QQzR-xv0ODjCVPGBR2blyTm/view?usp=sharing
?,"going down!
(prod. TM-88)",Original Instrumental,,,Full,Lossless,https://drive.google.com/file/d/1jh6x_gzgAaY-c9Nrq8Qo-goGKkVTd4Ik/view?usp=sharing
?,"Pain = BESTFRIEND
(feat. Travis Barker)
(prod. John Cunningham & Travis Barker)",Original Instrumental,,,Full,Lossless,https://drive.google.com/file/d/1H9g81m3uh1YNsGue6pr3Tlu_R8C72i3x/view?usp=sharing
?,"$$$
(feat. Matt Ox)
(prod. Laron & Den Beats)",Original Instrumental,,,Full,Lossless,https://drive.google.com/file/d/1M0u2HZ1JRACcdVQWCAfARQ-zbOr7Y_Qf/view?usp=sharing
?,"love yourself (interlude)
(prod. John Cunninghamn & Robert Soukiasyan)",Original Instrumental,,,Full,Lossless,https://drive.google.com/file/d/1PQZVAXhIIMsd8vKNl1Jn7jhc02z0A2X4/view?usp=sharing
?,"SMASH!
(feat. Pnb Rock)
(prod. Rekless & Smash David)",Original Instrumental,,,Full,Lossless,https://drive.google.com/file/d/1MDAgdT2fT2RPhChpXIjloyOjo0i5klqn/view?usp=sharing
?,"I dont even speak spanish lol
(feat. Rio Santana, Judah & Andrez Babii)
(prod. Z3N)",Original Instrumental,,,Full,Lossless,https://drive.google.com/file/d/1QteXdUljBxvnuyOY0c0FznZWfOQ_g1Qw/view?usp=sharing
?,"Hope
(prod. John Cunningham)",Original Instrumental,,,Full,Lossless,https://drive.google.com/file/d/1KJNavz5wyUgDGTeiqVEOd5oKRqn5pjBa/view?usp=sharing
?,"schizophrenia
(prod. John Cunningham & Robert Soukiasyan)",Original Instrumental,,,Full,Lossless,https://drive.google.com/file/d/1c16Ug4VbIjKw53GnGHkvL6FefNWlBI1L/view?usp=sharing
?,"before I close my eyes
(prod. John Cunningham)",Original Instrumental,,,Full,Lossless,https://drive.google.com/file/d/1TeryvUQrHan-QbILEK_vZnORNcldQ1ls/view?usp=sharing
?,"Shorty On 4 Legs
(prod. Mally Mall)",Original Instrumental,,,Full,CD Quality,https://drive.google.com/file/d/1CvwG_fKhp4uKKpPc3P4orZygsrzAptHd/view?usp=drive_link
,SKINS,,,,,,
,Stems,,,,,,
SKINS,Lil Wayne - Scared Of The Dark,Scared of the Dark Stems,,,Full,Lossless,https://drive.google.com/drive/folders/15ogpiGhvruJFwRP2ES9TT4VaHJj9NyW5
,Acapellas,,,,,,
SKINS,"Falling Down
(with Lil Peep) (prod. John Cunningham, Blue Cheeze & Mike WILL Made It)",Official Acapella,120,E Minor,Full,OG File,https://drive.google.com/file/d/1I_2MUiQhGLAoG5ZXqZ_ZUfTboU8R9GVW/view?usp=drive_link
,Instrumentals,,,,,,
SKINS,"Trippie Redd - GHOST BUSTERS [V4]
(Danny Phantom)
(feat. XXXTENTACION & Ski Mask The Slump God)
(prod. HONOURABLE C-NOTE)",Original Instrumental,,,Full,CD Quality,https://drive.google.com/file/d/1BZauR6zCYiVmTeochPBMiMMnXGqzYhT4/view?usp=drive_link
SKINS,"Falling Down
(with Lil Peep) (prod. John Cunningham, Blue Cheeze & Mike WILL Made It)",Original Instrumental,,,Full,OG File,https://drive.google.com/file/d/16K2fqxYAi0NFsFOR2nBQehMPD6TCCL5V/view?usp=sharing
SKINS,"Lil Wayne - Don't Cry
(feat. XXXTENTACION)
(prod. Z3N & Ben Billions)",Original Instrumental,,,Full,Lossless,https://drive.google.com/file/d/14ztKzCqfXPfFY4Ln0ETAxIvPBiQGC6NK/view?usp=sharing
SKINS,"Arms Around You
(feat. Lil Pump, Swae Lee & Maluma)
(prod. JonFX, MallyRaw & Skrillex)",Original Instrumental,,,Full,CD Quality,https://drive.google.com/file/d/1-popf6J9L08Ng22u2BNX3UjzLRv3jPOp/view?usp=sharing
SKINS,"BAD!
(prod. John Cunningham)",Original Instrumental,,,Full,CD Quality,https://drive.google.com/file/d/18oAfRLDiNr21HkCyKi3ILoN7G7Nq1q-1/view?usp=sharing
SKINS,"Kanye West - The Storm
(feat. Kid Cudi, XXXTENTACION, Ty Dolla $ign, Ant Clemons & tizhimself)
(prod. RONNY J)",Original Instrumental,,,Full,CD Quality,https://drive.google.com/file/d/14NufHf2MSppgUErt2Z1xKCjXYNjALmmK/view?usp=sharing
SKINS,"whoa (mind in awe)
(prod. John Cunningham)",Original Instrumental,,,Full,CD Quality,https://drive.google.com/file/d/1m_ui9dYVDFmO1hBTUPOOCyIoq8xD9BFa/view?usp=drive_link
SKINS,"One Minute
(feat. Kanye West & Travis Barker)
(prod. John Cunningham & Travis Barker)",Original Instrumental,,,Full,Lossless,https://drive.google.com/file/d/1tVRl6UleaURuUMBkDILotTC6dgGzJ1qq/view?usp=sharing
SKINS,"Lil Wayne - Scared Of The Dark
(feat. XXXTENTACION & Ty Dolla $ign)
(prod. Ben Billions & Infamous)",Original Instrumental,,,Full,Lossless,https://drive.google.com/file/d/1meYw10iSQjgLnYN19EOClZX0uuk_B_bk/view?usp=sharing
,Bad Vibes Forever (2019),,,,,,
Bad Vibes Forever (2019),"VOICES
(feat. Daniel Skye)
(prod. Kid Joki)",Original Instrumental,,,Full,CD Quality,https://drive.google.com/file/d/1UUrNeEhuFPf5ImKEkV7HefxjbDfJZ5Sh/view?usp=drive_link
Bad Vibes Forever (2019),"Triumph
(prod. John Cunningham)",Original Instrumental,,81,Full,Lossless,https://drive.google.com/file/d/1PIuxAObPTgIreC-X_fMvUlq3fyKXwGVa/view?usp=sharing
Bad Vibes Forever (2019),"Hot Gyal
(Forever, In Heaven)
(feat. Mavado & Tory Lanez)
(prod. Mally Mall & Jon Fx)",Original Instrumental,,,Full,Lossless,https://drive.google.com/file/d/1VvQL8MGIKhCnjXdP6-8Y6PcOPxmc9-hy/view?usp=sharing
Bad Vibes Forever (2019),"Royalty
(feat. Ky-Mani Marley, Stefflon Don & Vybz Kartel)
(prod. JonFX)",Original Instrumental,,,Full,Lossless,https://drive.google.com/file/d/1FJKmkrLm2s9Xn2Q-emhj815OIjbbe_dR/view?usp=drive_link
,LOOK AT ME: THE ALBUM,,,,,,
,Stems,,,,,,
LOOK AT ME: THE ALBUM,"Selfish
(prod. John Cunningham)","OG Filename: Selfish JC XXX Stems
Stems for an early version of ""Selfish"" with additional production from John Cunningham and one open verse. Said to been made on January 30th, 2022 and could just be a rebounce like ""True Love"" did to get prepared to be worked on in the later versions. Leaked as a bonus for the ""Gnarly Freestyle!"" groupbuy from the X community.",124,,OG File,Full,https://pillows.su/f/c41c7a2344b7513f5f05ade0fd837b31
LOOK AT ME: THE ALBUM,"True Love [V2]
(prod. John Cunningham)","OG Filename: True Love.02 - Stems
Stems for XXXTENTACION's solo version of ""True Love"".",84,Bb Minor,OG File,Full,https://pillows.su/f/30279b6a4dc5e381d0086952881421ad
