Era,Name,Notes,Length,File Date,Leak Date,Type,Available,Quality,Link(s)
Nectar,"🏆 Kacy Hill - Like You Do [V3]
(prod. Josh Taffel, Linden Jay & Kurtis McKenzie)
aka. Keep Me Sleeping","OG Filename: Kacy Hill - Like You Do V2
Kacy Hill's version of ""Like You Do"" that was previewed on her Instagram Story on December 8th, 2020. It's possible that there's lyric differences in this version.",,,"Dec 8, 2020",Reference,Snippet,High Quality,Snippet
Nectar,🏆 Wake Up* [V1],"Previewed in the video ""NECTAR SEPTEMBER 25"" on Joji's YouTube channel.",,,"Sep 21, 2020",Beat,Snippet,High Quality,Snippet
Nectar,"???
(prod. Joji)","A beat that was used in a promotional video for Nectar merchandise and was later 
used again in some of the promotional videos for the PANDEMONIUM tour in 2023.",,,"Sep 14, 2020",Beat,Snippet,High Quality,Snippet
Nectar,"WAP
(prod. Ayo & Keyz)","A cover of ""WAP"" by Cardi B previewed in an Instagram Story on Joji’s account on August 11th, 2020 with a message saying he recorded it when he had some free time.",,,"Aug 11, 2020",Cover,Snippet,High Quality,Snippet
Nectar,"???
aka. 111111","Previewed in the videos ""111111"" and ""2 DAYS"" on Joji’s YouTube channel.",,,"Aug 6, 2020",Beat,Partial,High Quality,"Snippet #1
Snippet #2"
BALLADS 1,"🏆 FUCK THE CLUB [V3]
(prod. Joji)
aka. FTC","Uploaded to Joji’s YouTube channel on July 30th, 2020, which was 5 days after Nectar was intended to release. In the description it says ""NOT SONG"" just like ""pretty boy"" did, which lead people to assume that ""FUCK THE CLUB"" was also going to release, but that wasn't the case. The song isn't a Nectar era throwaway like people believe.",,,"Jul 30, 2020",Throwaway,Partial,High Quality,Snippet
Nectar,"Daylight [V2]
(prod. Diplo, Maximilian Jaeger & Greg Kurstin)
aka. Alone*","Possible OG Filename: J_0619_MX2
An earlier mix of Daylight that has a little bit more of the outro.
It was leaked by Squirtle after a successful groupbuy for $500 on July 17th, 2020.
However, it released just 20 days later, which must've taught the community something.",2:45,"Jun 19, 2020","Jul 17, 2020",Demo,Full,Lossless,Link
Nectar,"Lil Yachty - Thune [V1]
(prod. Diplo*)","Previewed on the second episode of Kerwin Frost Radio on May 24th, 2020.
The song's title was confirmed on the radio show. Possbly produced by Diplo.",2:00,,"May 24, 2020",Demo,Tagged,High Quality,Link
Nectar,"🏆 Light Years*
(prod. Joji*)
aka. Didn't Even Feel It","Previewed in a teaser for the ""Gimme Love"" music video on Joji’s Facebook account on April 13th, 2020. The snippet's quality is very bad, let us know if there's a better one.
It was later repurposed as an instrumental for the song ""Didn't Even Feel it"" a year later.",,,"Apr 13, 2020",Beat,Snippet,Low Quality,Snippet
Nectar,"Pretty Boy [OG]
(prod. Patrick Wimberly, John Durham & Joji)
aka. pretty boy","Uploaded to Joji’s YouTube channel on April 9th, 2020. This version doesn't have vocals from Lil Yachty and has worse mixing. The description of the video says
""NOT SONG"", meaning it was originally not meant to be on Nectar.",,,"Apr 9, 2020",Demo,Partial,High Quality,Snippet
BALLADS 1,"⭐️ WRONG TYPE
aka. LOVE US AGAIN*","Leaked by Alek after a successful groupbuy for $250. A year after it leaked, 88rising posted a story on Instagram stating that it wasn’t a Joji-related song, and that it was just a reference track for other artists and was never intended to be released by Joji.",2:31,2018,"Aug 31, 2019",Reference,Full,CD Quality,Link
Nectar,"Sanctuary [V9]
(prod. Justin Raisen)","Another mix for ""Sanctuary"" from Frankie Ramirez. Nothing is different besides mixing.",,,"Jun 14, 2019",Demo,Snippet,Recording,Snippet
BALLADS 1,"🏆 CAN’T GET OVER YOU (Channel Tres Remix)
(prod. Channel Tres)","A remix of ""CAN'T GET OVER YOU"" by Channel Tres that was previewed on the
""LOST BALLADS"" VHS tape. The VHS tape was also released on Joji's YouTube channel on April 16th, 2019. It’s unclear as to why the remix was never released.",,,"Apr 16, 2019",Remix,Partial,High Quality,"Snippet #1
Snippet #2
Snippet #3"
BALLADS 1,"SLOW DANCING IN THE DARK [OG]
(prod. Joji & Patrick Wimberly)","An early version previewed on the ""LOST BALLADS"" VHS tape, which also released on Joji's YouTube channel on April 16th, 2019. The only noticable difference is that it uses a different clap in the instrumental as far as I can tell because of the audio quality.",,,"Apr 16, 2019",Demo,Snippet,Recording,Snippet
BALLADS 1,"⭐️ DON'T YOU KNOW*
(prod. Joji)
aka. DON'T YOU KNOW I LOVE YOU*","Heard in the music video for ""Window"" and the ""LOST BALLADS"" VHS tape which was also released on Joji's YouTube channel on April 16th, 2019. The song's been used many times as an introductory song at many of Joji's live shows / live performances.",,,"Apr 16, 2019",Throwaway,Full,High Quality,Link
BALLADS 1,LOST HARMONY*,"Previewed on the ""LOST BALLADS"" VHS tape, which was also released on Joji's YouTube channel on April 16th, 2019. It’s unknown if it was used for anything else, but it was also heard along with ""DON’T YOU KNOW"" in the music video for ""Window"".",,,"Apr 16, 2019",Unknown,Snippet,High Quality,Snippet
Nectar,"🏆 Sevdaliza - Human Nature (Remix)
(feat. Joji)","A remix of ""Human Nature"" by Sevdaliza featuring Joji, previewed on Sevdaliza's Instagram account on February 22nd, 2019. She said that it was scrapped due to conflicting schedules and labels, which happens a lot with collaborations with Joji.",,,"Feb 22, 2019",Feature,Snippet,Recording,Snippet
Head In The Clouds II,"Don Krez - Lemme Know [V2]
(feat. Joji) (prod. Don Krez & Flosstradamus)
aka. A Feeling, Breathe","An early version with rougher mixing, no autotune, and rearranged lyrics.
It was going to release on Don Krez's project as a feature at one point in time.",,2018,"Aug 16th, 2018",Demo,Partial,Low Quality,Snippet
BALLADS 1,"🏆 Lil Gnar - No Cosign
(feat. Joji) (prod. Ronny J)","After Lil Gnar previewed the song on his SoundCloud account, a snippet later leaked from Viper. It was produced by RonnyJ, who later on passed the beat to Wifisfuneral.
There's many fake files in circulation, with some having been bought in the community.",,,2019,Feature,Partial,High Quality,"Snippet #1
Snippet #2"
BALLADS 1,"THE LAST OLÉ* (Remix)
(prod. Joji)","In an episode of Mass Appeal's YouTube series ""Rhythm Roulette"" where a producer is blindfolded and must pick 3 vinyl records at random and sample them, Joji picks out a few records, but only ends up working with ""The Last Olé"" by The Jimmy Castor Bunch.",1:08,"Nov 16, 2018","Dec 17, 2018",Beat,Snippet,High Quality,Snippet
BALLADS 1,"🏆 IT’S NOT THAT EASY BEING GREEN*
(prod. Joji)","Performed live at a show in Europe on December 16th, 2018, and later played on the ""LOST BALLADS"" VHS tape, though they only played the drums from the beginning.",2:18,,"Dec 16, 2018",Throwaway,Full,Recording,"Link
CDQ Snippet"
BALLADS 1,"???
(prod. Joji)",A snippet of Joji playing piano in his interview in Bloomberg's video with 88rising.,,"Dec 2, 2018","Dec 3, 2018",Demo,Snippet,Recording,Snippet
BALLADS 1,???,"Sounds heard in a session during Joji's interview in Bloomberg's video with 88rising.
(i really don't know what description i can even give here)",,"Dec 2, 2018","Dec 3, 2018",Demo,Snippet,Recording,Snippet
BALLADS 1,"I’LL SEE YOU IN 40 [OG]
(prod. Joji)","Previewed on Joji’s Instagram account days before the release of BALLADS 1.
Nothing is currently known about it besides that it has a changed pitch and speed.
It could just be that the song was edited only for the intention of the Instagram post.",,,"Oct ??, 2018",Demo,Snippet,Recording,Snippet
BALLADS 1,"CAN'T GET OVER YOU [V4]
(feat. Clams Casino)
(prod. Rogét Chahayed, Clams Casino & Thundercat)","OG Filename: Can't Get Over You - Joji - FR Master 4.m4a
An early master from the Director's Cut music video. The only difference is mixing.
The video has a slowed down part with audio from ""SLOW DANCING IN THE DARK"".
This is not the original file, this a rip from the Vimeo upload that uses the original mix.",2:13,"Aug 10, 2018","Oct 2, 2018",Demo,Full,CD Quality,Link
Head In The Clouds,"Midsummer Madness [V5]
(prod. AUGUST 08 & Rich Brian)","Another version that was used in a director's cut for the music video.
The only difference in this version is that Rich Brian has more background vocals.",,2018,"Oct 2, 2018",Demo,Full,CD Quality,Link
BALLADS 1,"SLOW DANCING IN THE DARK [V3]
(prod. Joji & Patrick Wimberly)","OG Filename: Slow Dancing In The Dark - Joji - 24 bit - FR Master 3.wav
An early master from the Director's Cut music video. The only difference is mixing.
This is not the original file, this a rip from the video file that uses the original mix.
It's a mix by Frankie Ramirez that didn't get used, much like his mix for ""Sanctuary"".",3:43,"Jul 23, 2018","Sep 12, 2018",Demo,Full,Lossless,Link
In Tongues,"🏆 Feel The Same
(prod. fish narc)","A snippet that was leaked by fish narc on an Instagram Live. When asked if it would be released he responded with ""Probably never"", likely due to 88rising clearance issues.",,,"Jul 11, 2018",Throwaway,Snippet,Recording,Snippet
BALLADS 1,"🏆 COME THRU [OG]
(prod. Shlohmo)
aka. NO CALLER I.D.*","Performed at WeDidIt’s 10th anniversary festival on June 22nd, 2018.
This version has a scrapped verse that was changed entirely later on.",2:33,,"Jun 22, 2018",Demo,Full,Recording,Link
Head In The Clouds,"Midsummer Madness [V2]
(prod. AUGUST 08 & Rich Brian)","Previewed on Twitter by 88rising on May 17th, 2018.
This version has a longer intro with another stripped back instrumental.",,,"May 17, 2018",Demo,Partial,High Quality,Link
BALLADS 1,"FUCK THE CLUB [V1]
(prod. Joji)
aka. FTC","Previewed in the 88rising YouTube video ""yeah right, she don’t care if i die"" that was uploaded on May 14th, 2018. It was a Behind-The-Scenes video for ""YEAH RIGHT"".
Nothing is known about this version besides that it has mumbled vocals in the intro.",,,"May 14, 2018",Demo,Snippet,Recording,Snippet
Nectar,"Linden Jay - Keep Me Sleeping [V1]
(prod. Josh Taffel, Linden Jay)
aka. Like You Do","Four years before the release of Nectar, Linden Jay went into the studio one night with Josh Taffel and produced ""Keep Me Sleeping"", which he later decided to put on a compilation tape with other beats. He loved the instrumental but just wished that it had vocals. A few years later he sent it to Kurtis McKenzie, who would write ""Like You Do"".",2:51,,"May 3, 2018",Beat,Full,High Quality,Link
BALLADS 1,"YEAH RIGHT [V1]
(prod. Joji)
aka. Yea Right","Performed live at Terminal 5 in New York on February 20th, 2018. The only difference in this version is the different drums, sounding like it was made during the In Tongues era.",,,"Feb 20, 2018",Demo,Full,Recording,"Link
CDQ Snippet"
Head In The Clouds II,"Smokepurpp - A Feeling [V1]
(prod. Mally Mall)
aka. Breathe, Lemme Know","Originally Smokepurpp's song before it was given to Joji later on.
This version has a different instrumental and different lyrics, mostly mumble.",,2018,2018,Demo,Partial,Recording,Snippet
BALLADS 1,"DIE4U [OG]
(feat. Trippie Redd) (prod. Ryan Hemsworth & Joji)
aka. R.I.P.","A snippet that was leaked by MusicMafia, being listed as a Trippie Redd song with no mention of Joji. There aren't any known differences, besides the title change. The piano was reused from the ""Firefish"" snippet that was previewed on Joji's Instagram account.",,,2018,Demo,Snippet,Low Quality,Snippet
Head In The Clouds,"Peach Jam [OG]
(prod. BlocBoy JB, Joji & Oren Yoel)","A snippet that was originally from Instagram, though it's currently unknown who
posted it, or when it was posted. It features very rough vocals from Joji's chorus.",,,2018,Demo,Snippet,Recording,Link
BALLADS 1,"WANTED U [OG]
(prod. Joji)","Performed live at NOIZ Club in Bangkok on December 6th, 2017.
The only noticable difference is that there’s no guitar solo in this version of the song.",,,"Dec 6, 2017",Demo,Partial,Recording,Snippet
Lost Instruments,"⭐️ diamondsonmydick [V2]
(prod. Joji)
aka. Diamonds","Released exclusively on WAV Media on October 27th, 2017, before it’s shut down on December 22nd, 2019. ""Diamonds"" was also a song title seen in Joji’s VICE interview.",1:28,,"Oct 27, 2017",Throwaway,Full,Lossless,Link
Lost Instruments,"⭐️ Amazonian Pet [V2]
(prod. Joji)
aka. amazonian pet","OG Filename: Amazonian Pet (demo)
Exclusively released on WAV Media on October 27th, 2017, before it’s shut down on December 22nd, 2019. There’s a very loud and explicit voice recording at the end. 
It was privately uploaded onto Joji’s SoundCloud account on January 27th, 2016.",2:36,,"Oct 27, 2017",Throwaway,Full,Lossless,Link
Lost Instruments,"⭐️ nightmares of the invertebre
(prod. Joji)","Exclusively released on WAV Media on October 27th, 2017, before it’s shut down on December 22nd, 2019. Reuses elements from ""diamondsonmydick"" and ""rain on me"".",2:11,,"Oct 27, 2017",Throwaway,Full,Lossless,Link
In Tongues,"SAD TRAVIS PT.2 [V4]
(prod. Joji)
aka. 128, Antidote Pt. 2, Window Pt. 2","Previewed on BRTHR's Instagram on August 7th, 2017. This version has less vocals.",,,"Aug 7, 2017",Throwaway,Snippet,High Quality,Snippet
In Tongues,"Demons [V3]
(prod. Joji)
aka. dem3, look alive","OG Filename: dem3
From the now-deleted 88rising YouTube video ""The Snake or the Rabbit"" that was uploaded on August 2nd, 2017. It just features Joji recording some of the vocals.
The project file for it was also seen on Joji’s laptop in his interview with VICE.",,"???, 14, 2017","Aug 2, 2017",Demo,Snippet,Recording,Snippet
In Tongues,"🏆 ???
(prod. Joji)","From a now-deleted 88rising YouTube video ""The Snake or the Rabbit"" that was uploaded on August 2nd, 2017. It was originally thought that this was ""IDFLKMST""
due to both of them having a very similar sounding bass, which was possibly reused.",,,"Aug 2, 2017",Beat,Partial,Recording,"Snippet #1
Snippet #2"
Chloe Burbank Volume 1,"Firefish*
(prod. Joji)","A beat that was previewed on Joji’s Instagram account on July 25th, 2017.
The piano was later used on ""R.I.P."" on the BALLADS 1 project a year later.",,,"Jul 25, 2017",Beat,Snippet,Low Quality,Snippet
In Tongues,"Antidote [V2] 
(prod. Joji)
aka. SAD TRAVIS PT. 1, Window","Played during Joji's Boiler Room set with 88rising on May 18th, 2017. The piano is chopped earlier and features little to no background vocals. It was originally titled ""Antidote"" instead of ""Window"", and even interpolates ""Antidote"" by Travis Scott.",2:06,,"May 18, 2017",Demo,Full,Recording,Link
Chloe Burbank Volume 1,"🏆 Miles [V3]
(prod. Joji)
aka. Miles Experiment3*, Am I High? No*","Played during Joji's Boiler Room set with 88rising on May 18th, 2017. This version has very different production, but it's kinda hard to tell what was done live and what wasn't.",1:01,,"May 18, 2017",Throwaway,Full,Recording,Link
Green Echo,"Once In A While [OG]
(prod. rei brown)","Possible OG Filename: green echo ????
Played at Joji's Boiler Room live set with 88rising on May 18th, 2017.
This version doesn't have rei brown's vocals and is much longer.",3:12,,"May 18, 2017",Demo,Full,Recording,Link
Chloe Burbank Volume 1,"rain on me [V2]
(prod. Joji)","Played during Joji's Boiler Room set with 88rising on May 18th, 2017. This version doesn’t have a verse or the ending transition, and starts immediately with the chorus.",0:55,,"May 18, 2017",Demo,Full,Recording,Link
In Tongues,"Will He [OG]
(prod. West1ne & Joji)
aka. Will He?","Played during Joji's Boiler Room set with 88rising on May 18th, 2017.
This version is much shorter and does not feature a second verse.",2:07,,"May 18, 2017",Demo,Full,Recording,Link
In Tongues,"🏆 Wonderwall
(prod. Joji)
aka. Wonderwall (Remix)","A remix of ""Wonderwall"" by Oasis. Played during Joji's Boiler Room set with 88rising on May 18th, 2017. Wonderwall was also seen on a whiteboard in Joji's VICE interview.",0:58,,"May 18, 2017",Remix,Full,Recording,Link
In Tongues,"???
(prod. Joji)","A beat that was played at Joji's Boiler Room set with 88rising on May 18th, 2017.",0:44,,"May 18, 2017",Beat,Full,Recording,Link
In Tongues,"???
(prod. Joji)","A beat that was played at Joji's Boiler Room set with 88rising on May 18th, 2017.",1:03,,"May 18, 2017",Beat,Full,Recording,Link
Chloe Burbank Volume 1,"🏆 I Don't Please You
(prod. Joji)","A throwaway that was previewed on Joji’s Instagram account on January 25th, 2017.",,,"Jan 25, 2017",Throwaway,Snippet,Recording,Snippet
Chloe Burbank Volume 1,"???
(prod. Joji)",An unknown beat that was previewed on Joji’s Instagram account.,,,"Nov 11, 2016",Beat,Snippet,Recording,Snippet
Chloe Burbank Volume 1,"???
(prod. Joji)",An unknown beat that was previewed on Joji’s Instagram account.,,,"Nov 5, 2016",Beat,Snippet,Recording,Snippet
Chloe Burbank Volume 1,"🏆 Ears Bleed [V5]
(prod. Joji)
aka. beat 4 rent",Previewed on Joji’s Instagram account. The harmony is chopped in a different way.,,,2016,Beat,Snippet,Recording,Snippet
Chloe Burbank Volume 1,"???
(prod. Joji)",An unknown beat that was previewed on Joji’s Instagram account.,,,2016,Beat,Snippet,Recording,Snippet
Chloe Burbank Volume 1,"🏆 Manhattan
(prod. Joji)
aka. Manhattan (Remix)","A cover of ""Manhattan"" by Sara Bareilles that was previewed on Joji's Vine account.",,,2015,Remix,Snippet,Recording,Snippet
Chloe Burbank Volume 1,"Miles [V1]
(prod. Joji)
aka. Miles Experiment1*, Am I High? No*","An early version previewed on Joji’s Vine account sometime in 2015.
This version has a harmony that was removed in later versions.",,,2015,Demo,Snippet,Recording,"Snippet
Snippet #2"
Chloe Burbank Volume 1,"🏆 rain on me [V1]
(prod. Joji)",An early version with a cut verse that was previewed on Joji’s Vine account in 2015.,,,2015,Demo,Snippet,Recording,Snippet
Chloe Burbank Volume 1,"🏆 I Need A Place To Rest*
(prod. Joji)",A throwaway that was previewed on Joji's Vine account in 2015.,,,2015,Throwaway,Snippet,Recording,Snippet
Chloe Burbank Volume 1,"???
(prod. Joji)",An unknown beat that was previewed on Joji’s Vine account.,,,2015,Beat,Partial,Recording,"Snippet #1
Snippet #2"
Chloe Burbank Volume 1,"🏆 lov u
(prod. Joji)
aka. Sure Thing (Remix)","A remix of ""Sure Thing"" by Miguel that was previewed on Joji’s Vimeo account.
The original sample comes from a now-deleted cover from a 13 year old girl.
A more up-beat part of the remix was previewed on Joji's Vine sometime in 2015.",,,"Nov 18, 2014",Remix,Partial,CD Quality,"Snippet #1 
Snippet #2"
Chloe Burbank Volume 1,"foie [OG]
(prod. Joji)","An earlier version that was previewed in jojivlogs 7. This version doesn't have the vocals from ""Juicy"" by Biggie Smalls placed on top of the beat like the released version does.",,,"Aug 6, 2014",Demo,Snippet,Recording,Snippet
Chloe Burbank Volume 1,"rei brown - Rajvi [V2]
(prod. rei brown)","Previewed in jojivlogs 7 on August 6th, 2014. This version doesn't have Joji's vocals.",,,"Aug 6, 2014",Demo,Snippet,Recording,Snippet
Chloe Burbank Volume 1,"🏆 Diamonds [V1]
(prod. Joji)
aka. diamondsonmydick","An early version of ""diamondsonmydick"" with very different production which was previewed in jojivlogs 4. ""Diamonds"" was also a song title seen in Joji’s VICE interview.",,,"Jun 29, 2014",Demo,Snippet,Recording,Snippet
Chloe Burbank Volume 1,"🏆 Jungle Boy Pt. 2
(prod. Joji)","In ""Jungle Boy Pt. 1"" on ""PINK GUY"" the beat switches, previewing another track, with Joji then cutting in and saying ""Sorry, this beat is reserved for the JOJI album"". ",,,"May 23, 2014",Throwaway,Partial,Lossless,Snippet
Chloe Burbank Volume 1,"🏆 They Don't Understand*
(prod. Joji)","Previewed in the YouTube video ""WEIRD MCDONALD’S RAP"" and in jojivlogs 2.
Joji confirmed in the comments of the video that it was for the Chloe Burbank project.",,,"Jan 31, 2014",Throwaway,Snippet,High Quality,Snippet
Chloe Burbank Volume 1,"rei brown - Rajvi [V1]
(prod. rei brown)",An early version that was previewed on Vine. Features rei brown making the melody.,,,2014,Demo,Snippet,Recording,Snippet
Chloe Burbank Volume 1,"🏆 Say You Will (Remix)
(prod. Joji)
aka. Say You Will (Remix)","A cover of ""Say You Will"" by Kanye West from the video ""DO THE SALAMANDER"" with
an announcement of a Pink Guy album. It could have been intended for PINK GUY.",,,"Aug 3, 2013",Cover,Snippet,High Quality,Snippet
Chloe Burbank Volume 1,"WORLD$TAR MONEY [OG]
(prod. Joji)
aka. worldstar money (interlude)","The original ukulele recording previewed in jojivlogs 6 which was pitched down
and later used in ""WORLD$TAR MONEY"" / ""worldstar money (interlude)"".",,,"Jul 23, 2013",Demo,Snippet,Recording,Snippet
Before Pink Guy,"Blind Man (Remix)
(prod. Joji)","A remix of ""Blind Man"" by Little Milton. The same drums were eventually reused in ""OSAMA"" from the YouTube video ""PINK GUY COOKS STIR FRY AND RAPS"".
Previewed in an old video and in the video ""ANIME HUNTER - CHIN CHIN ARRIVES"".",,,"Aug 20, 2011",Remix,Snippet,High Quality,Snippet
Before Pink Guy,"🏆 Listen
(prod. MC Rukuss)","A song that was used in a video for a school project. The same drums
were eventually reused in the songs ""rain on me"" and ""ASIAN PIZZA"".",,,"Apr 12, 2011",Throwaway,Partial,High Quality,Snippet
