Era,"Name
(Check out the Tracker website!)","Notes
(Join the Discord for updates and suggestions!)","Media 
Length","Release
Date",Type,Streaming,Link(s)
Under Construction!!!,,,,,,,
"3 Released
0 Unreleased
0 On Streaming
3 Not On Streaming",C4,"(11/13/2007) (Kendrick releases his third mixtape, No Sleep 'Til NYC, with Jay Rock)
(01/30/2009) (Kendrick releases his fourth mixtape, C4)",,"C4 is the fourth mixtape by American rapper Kendrick Lamar, then known as ""K.Dot"". It was released on January 30, 2009 through Top Dawg Entertainment (TDE). The mixtape contains 17 tracks and includes guest appearances from Lamar's TDE label-mates Ab-Soul, Punch, Jay Rock, ScHoolboy Q, and BO. The mixtape was heavily inspired by fellow American rapper Lil Wayne’s 2008 critically acclaimed album, Tha Carter III (C3), being mostly composed of freestyles over instrumentals from Wayne’s album in addition to a couple of original tracks.",,,
C4,"Jay Rock - What's Up 
(feat. Grafh & K.Dot) (dir. Dave Free)
(Wassup Hah)","Official music Video for Jay Rock's song ""What's Up"", featuring Grafh & K.Dot, later tItled ""Wassup Hah"" upon release. K.Dot's first appearance in a Music Video as a featured artist.
Directed by Dave Free.",3:27,"Feb 11, 2009",Released,No,https://www.youtube.com/watch?v=FMYqRoFXQB4?si=qiYfqP2S7pn4SmMn
C4,"Jay Rock - We Run This 
(feat. Ab Soul, Bo & K.Dot) (dir. Dave Free)
(TopDawg, TopDawg ENT)","Official music Video for Jay Rock's song ""We Run This"", featuring Ab Soul, Bo & K.Dot.
Directed by Dave Free.",5:40,"Feb 11, 2009",Released,No,https://www.youtube.com/watch?v=61GpQ2XaN2w?si=mzb0jJ1Xtya8GsIP
C4,"Bitch I'm In The Club
(dir. Dave Free)","Official music video for ""Bitch I'm In The Club"".
Directed by Dave Free.",2:08,"Feb 25, 2009",Released,No,https://www.youtube.com/watch?v=1dqGwp1-BLU?si=nRjWnWXl_j85Hz39
"5 Released
3 Unreleased
2 On Streaming
8 Not On Streaming","The Kendrick Lamar EP
(The Kendrick Lamar LP, Kendrick Lamar)","(01/30/2009) (Kendrick releases C4 mixtape)
(Mid 2009) (Kendrick scraps the Before I Commit Suicide mixtape and the original version of good kid, m.A.A.d city)
(12/31/2009) (Kendrick releases ""The Kendrick Lamar EP"", a street album)",,"Kendrick Lamar is an EP by American rapper Kendrick Lamar that was released as a free digital download on December 31, 2009 by Top Dawg Entertainment. It is his first project to be released under his birth name, previously releasing music under the moniker K.Dot, from 2006 to mid 2009. Executive produced by DudeDawg, dee:jay:dave and Sounwave.",,,
The Kendrick Lamar EP,"Jay Rock - Mandatory  
(feat. K.Dot & Ab Soul) (dir. James Curtis)","Official music video for Jay Rock's song ""Mandatory"", featuring K.Dot & Ab Soul. has a very weird wave effect in some parts of the video. 
Directed by James Curtis.",4:25,"Aug 6, 2009",Released,No,https://www.youtube.com/watch?v=3-d7Olsdw5Y
The Kendrick Lamar EP,"Compton State Of Mind
(dir. Dave Free)","Official music video for ""Compton State Of Mind"". 
Directed by Dave Free.",4:33,"Nov 18, 2009",Released,No,https://www.youtube.com/watch?v=hHNmgefPaLg
The Kendrick Lamar EP,"Interview / A Little Appalled
(dir. Dave Free)","1st part being a interview with Kendrick about his name change & upcoming EP. With the 2nd part being a official music video for ""A Little Appalled"".
Directed by Dave Free.",6:26,"Dec 18, 2009",Released,No,https://www.youtube.com/watch?v=56GO5PkBrMI?si=2Hk_V9rr01Ow4IjY
The Kendrick Lamar EP,"Uncle Bobby & Jason Keaton
(feat. JaVonté) (dir. Brandon Dimit) ","Official music video (+ Interview) for ""Uncle Bobby & Jason Keaton"", featuring JaVonté.
Directed by Brandon Dimit. 
fun fact, this video shoot is when the ep cover was taken!",5:29,"Jan 7, 2010",Released,No,https://www.youtube.com/watch?v=Nl6_thy5bHM?si=XMQQ8HLN00Mewibt
The Kendrick Lamar EP,She Needs Me [Behind The Scenes],"Behind the scenes for the official music video of ""She Needs Me"".",5:20,"Jan 26, 2010",Other,Yes,https://www.youtube.com/watch?v=b-gZA3kQWOc&t=86s
The Kendrick Lamar EP,"She Needs Me
(dir. Jerome D. Hurd)","Official music video for ""She Needs Me"". 
Directed by Jerome D. Hurd.",3:32,"Mar 21, 2011",Released,Yes,https://www.youtube.com/watch?v=LuIUqIkDMY8
The Kendrick Lamar EP,"Fuck A Hook / Today 
(dir. Fredo Tovar & Scott Fleishman)","Double music video for ""Fuck A Hook"" & ""Today"". features Kendrick talking about his cancelled mixtape ""Before I Commit Suicide"" (which the two songs feature on) before and after the music videos.
Directed by Fredo Tovar & Scot Fleishman.",9:25,"Jul 25, 2011",Unreleased,No,https://www.youtube.com/watch?v=pq7rX9l8mZI
The Kendrick Lamar EP,"Kendrick Lamar 
(dir. Jem Cretes)
(My Name Is Kendrick)","Unreleased music video for ""Kendrick Lamar"", behind the scenes footage is also linked.
Directed by Jim Cretes.",3:14,"Jan 27, 2013",Unreleased,No,https://www.dailymotion.com/video/x123wx5
The Kendrick Lamar EP,"P&P 
(feat. Ab-Soul) (dir. ???)","Unreleased music video for ""P&P"", featuring Ab-Soul. Unknown who the director is and the Vimeo link in the video's description has since been deleted.",5:17,N/A,Unreleased,No,https://www.youtube.com/watch?v=UW61FHfXYCI
The Kendrick Lamar EP,"P&P [Behind The Scenes]
(feat. Ab-Soul)","Behind the scenes for the unreleased music video of ""P&P"", featuring Ab-Soul.",2:47,N/A,Other,No,https://www.youtube.com/watch?v=PzqlTbjw6s4?si=ouBF6TgO1MjI8nQT
"10 Released
0 Unreleased
7 On Streaming
3 Not On Streaming","Overly Dedicated
(The Kendrick Lamar O.D)","(12/31/2009) (Kendrick releases self-titled EP)
(Early 2010) (Kendrick scraps The Songs That Didn't Make The Kendrick Lamar EP)
(09/04/2010) (Kendrick releases Overly Dedicated mixtape)",,"Overly Dedicated—sometimes stylized O(verly) D(edicated)—is Kendrick Lamar’s fifth solo mixtape, released on September 14, 2010 via Top Dawg Entertainment. The cover art features different artists and musicians that have passed away, most of them from drug overdoses. These artists include: Michael Jackson, Pimp C, Ol' Dirty Bastard, Jimi Hendrix, Jim Morrison, Kurt Cobain, Sacer, Eric Snow, Dashiell “Dash” Snow, Robert Johnson and Bruce Lee.",,,
Overly Dedicated,"The Heart Part 1
(dir. Dave Free)","Official music video for ""The Heart Part 1"".
Directed by Dave Free.",4:25,"Apr 14, 2010",Released,No,https://www.youtube.com/watch?v=FjSfelCds6g?si=jB-u_6twy2iNdf4c
Overly Dedicated,"Ab-Soul - Turn Me Up
(feat. Kendrick Lamar) (dir. Calmatic)","Official music video for ""Turn Me Up"", featuring Kendrick Lamar.
Directed by Calmatic.",4:39,"Aug 10, 2010",Released,No,https://www.youtube.com/watch?v=gNaZ-uFHjRk?si=yuc88ga9_dLs3aWP
Overly Dedicated,"Black Hippy - Zip That Chop That
(dir. Joseph Donaldson)","Official music video for ""Zip That Chop That"".
Directed by Joseph Donaldson.",4:21,"Aug 11, 2010",Released,Yes,https://www.youtube.com/watch?v=oRY1k6aSE0g
Overly Dedicated,"Ignorance Is Bliss
(dir. Dave Free & Michael Mihail)","Official music video for ""Ignorance Is Bliss"".
Directed by Dave Free & Micheal Milhail.",1:52,"Aug 23, 2010",Released,Yes,https://www.youtube.com/watch?v=xiU8xDMOXfo
Overly Dedicated,"Monster Freestyle
(dir. Calmatic)","Official music video for ""Monster Freestyle"".
Directed by Calmatic.",3:30,"Sep 3, 2010",Released,No,https://youtube.com/watch?v=cHlnLn7aBlo
Overly Dedicated,"H.O.C
(dir. JeromeD)","Official music video for ""H.O.C"".
Directed by JeromeD.",1:16,"Sep 9, 2010",Released,Yes,https://www.youtube.com/watch?v=srXoMO59smM
Overly Dedicated,"P&P 1.5
(feat. Ab-Soul) (dir. JeromeD)","Official music video for ""P&P 1.5"", featuring Ab-Soul.
Directed by JeromeD.",4:37,"Sep 13, 2010",Released,Yes,https://www.youtube.com/watch?v=OKxcybGRbkQ?si=OjBHVDtHH4_vIknL
Overly Dedicated,"Jay Rock - Diary Of A Broke Nigga
(feat. Kendrick Lamar & Giddy) (dir. Fredo Tovar & Scott Fleishman)","Official music video for ""Diary Of A Broke Nigga"", 
featuring Kendrick Lamar & Giddy.
Directed by Fredo Tovar & Scott Fleishman.",3:43,"Dec 7, 2010",Released,Yes,https://www.youtube.com/watch?v=x8UwUCOyiyo?si=W21DlnSSRCSqjJay
Overly Dedicated,"Cut You Off 
(dir. Calmatic)","Official music video for ""Cut You Off (To Grow Closer)"".
Directed by Calmatic.",5:04,"Mar 11, 2011",Released,Yes,https://www.youtube.com/watch?v=ZJzr2Dsputk
Overly Dedicated,"Michael Jordan
(feat. ScHoolboy Q) (dir. Fredo Tovar)","Official music video for ""Michael Jordan"", featuring ScHoolboy Q.
Directed by Fredo Tovar.",6:20,"Mar 11, 2011",Released,Yes,https://www.youtube.com/watch?v=B_gt1etlEoI?si=LwvPoZoZO2XYzK6e
"10 Released
0 Unreleased
11 On Streaming
1 Not On Streaming","Section.80
(Good Kid in a Mad City)","(09/04/2010) (Overly Dedicated is released)
(07/02/2011) (Section.80 is released)",,"Section.80 is Kendrick Lamar’s first full-length project, released on July 2, 2011, via Top Dawg Entertainment; although the project was marketed and distributed like a studio album, Lamar has consistently referred to it as a mixtape. The title, Section.80, is a combination of Section 8 Housing and the decade that Kendrick was born in—the 1980s. The subject matter ranges from Black people’s strife due to the missteps of the Reagan Administration, women’s issues, drug abuse, and conspiracy theories about the government; all of this without sacrificing precise, agile lyricism. “The Spiteful Chant” was notably removed from streaming services in August 2019. (While the issue was never discovered, it’s presumed to be because of sample clearance issues.)",,,
Section.80,"Look Out For Detox
(dir. Fredo Tovar)","Offical music video for ""Look Out For Detox"".
Directed by Fredo Tovar.",3:10,"Dec 9, 2010",Released,No,https://www.youtube.com/watch?v=B5eT6TaEtPI?si=J5ycu7xSg_8ygmK0
Section.80,"ScHoolboy Q - Live Again
(feat. CurT@!n$ & Kendrick Lamar) (dir. Fredo Tovar & Scott Fleishman)","Official music video for ""Live Again"", featuring CurT@!n$ & Kendrick Lamar. Directed by Fredo Tovar & Scott Fleishman.",5:25,"Dec 24, 2010",Released,Yes,https://www.youtube.com/watch?v=0vcievHnzRw?si=hNI7jDakqpGo0OHz
Section.80,"HiiiPoWeR
(feat. Alori Joh) (dir. Fredo Tovar & Scott Fleishman)","Official music video for ""HiiiPoWeR"", featuring Alori Joh.
Directed by Fredo Tovar & Scott Fleishman.",5:09,"May 28, 2011",Released,Yes,https://www.youtube.com/watch?v=-PXIbVNfj3s?si=j3E9UXZLHgmeqngz
Section.80,"Jay Rock - Hood Gone Love It [Behind The Scenes]
(feat. Kendrick Lamar)","Behinds the scenes for the official music video of ""Hood Gone Love It"", featuring Kendrick Lamar.",4:21,"Jun 22, 2011",BTS,Yes,https://www.youtube.com/watch?v=ZyKd_rGltaY?si=EldhTiPIRvzXONhv
Section.80,"Jay Rock - Hood Gone Love It
(feat. Kendrick Lamar) (dir. Dan Gedman)","Offical music video for ""Hood Gone Love It"", featuring Kendrick Lamar.
Directed by Dan Gedman.",3:54,"Jun 24, 2011",Released,Yes,https://www.youtube.com/watch?v=j-uwCubSTQs?si=6W-vym9Key4ByuMf
Section.80,"Tammy's Song (Her Evils)
(dir. JeromeD)","Official music video for ""Tammy's Song (Her Evils)"".
Directed by JeromeD.",2:39,"Jun 29, 2011",Released,Yes,https://www.youtube.com/watch?v=C7LzgKaou4U?si=KnDysHc4xnx6x81L
Section.80,"Jay Rock - Say Wassup
(feat. ScHoolboy Q, Ab-Soul & Kendrick Lamar) (dir. Fredo Tovar)","Official music video for ""Say Wassup"",
featuring ScHoolboy Q, Ab-Soul & Kendrick Lamar.
Directed by Fredo Tovar.",8:24,"Jul 22, 2011",Released,Yes,https://www.youtube.com/watch?v=UziocaSimyc
Section.80,Rigamortis [Behind The Scenes],"Behind the scenes for the official music video of ""Rigamortis"".",2:16,"Jul 29, 2011",BTS,Yes,https://www.youtube.com/watch?v=jHBZmOQgJzg
Section.80,"A.D.H.D
(dir. Vashtie)","Official music video for ""A.D.H.D"".
Directed by Vashtie.",3:46,"Aug 24, 2011",Released,Yes,https://www.youtube.com/watch?v=QjlFqgRbICY?si=zBQn4FTF2RARInqb
Section.80,"Rigamortis
(dir. The ICU)","Official music video for ""Rigamortis"".
Directed by The ICU.",3:19,"Oct 23, 2011",Released,Yes,https://www.youtube.com/watch?v=yh6QxtRpSH8
Section.80,"Terrace Martin - Do it Again
(feat. Wiz Khalifa & Kendrick Lamar) (dir. Fredo Tovar & Scott Fleishman)","Official music video for ""Do it Again"", featuring Wiz Khalifa & Kendrick Lamar. Directed by Fredo Tovar & Scott Fleishman.",4:00,"Dec 2, 2011",Released,Yes,https://www.youtube.com/watch?v=fmkIziXMSmg?si=nXRnnl0CptfDL8zY
Section.80,"The Game - The City
(feat. Kendrick Lamar) (dir. Matt Alonzo)","Official music video for ""The City"", featuring Kendrick Lamar.
Directed by Matt Alonzo.",5:27,"Mar 22, 2012",Released,Yes,https://www.youtube.com/watch?v=TsMMuXZZUm8?si=B4fzOwb7ku0H3MgB
"9 Released
2 Unreleased
10 On Streaming
2 Not On Streaming","good kid, m.A.A.d city
(good kid, m.A.A.d city: a short film by Kendrick Lamar)","(2009) (Before Dr. Dre contributions there was already a whole finished version of a good kid, m.A.A.d city project that MixedByAli says ""will never see the light of day."")
(07/02/2011) (Section.80 is released)
(06/26/2012) (the album is officially titled 'good kid, m.A.A.d. city)
(10/22/2012) (good kid, m.A.A.d city is released)",,"good kid, m.A.A.d city is Kendrick Lamar’s major label debut, released on October 22, 2012 through Top Dawg Entertainment, Aftermath Entertainment and Interscope Records. Subtitled “A Short Film by Kendrick Lamar,” this concept album depicts a day in the life of a 17-year-old Lamar as he rides around Compton in his mom’s minivan. The first twelve tracks make up the standard edition of the album, and there are a variety of different deluxe editions including various bonus tracks. The album was re-released on March 19, 2013 with a bonus remix of “Bitch, Don’t Kill My Vibe” featuring JAY-Z.",,,
"good kid, m.A.A.d city","DJ Khaled, Birdman & Mack Maine - B-Boyz
(feat. Kendrick Lamar & Ace Hood) (dir. Derick G)","Offical music video for ""B-Boyz"", featuring Kendrick Lamar & Ace Hood.
Directed by Derick G.",5:09,"May 18, 2012",Released,Yes,https://www.youtube.com/watch?v=Q_GgXl29HRA&list=RDQ_GgXl29HRA&start_radio=1
"good kid, m.A.A.d city","Trae Tha Truth - I'm On 2.0
(feat. Big K.R.I.T., Jadakiss, J. Cole, Kendrick Lamar, B.o.B, Tyga, Gudda Gudda, Bun B & Mark Morrison) (dir. PhillyFlyBoy)","Offical music video for ""I'm On 2.0"", featuring Big K.R.I.T., Jadakiss, J. Cole, Kendrick Lamar, B.o.B, Tyga, Gudda Gudda, Bun B & Mark Morrison.
Directed by PhillyFlyBoy.",5:57,"Jun 6, 2012",Released,Yes,https://www.youtube.com/watch?v=-kLckbXiecQ?si=6wlgh2_yPqE8cCXX
"good kid, m.A.A.d city","Ab-Soul - Black Lip Bastard (Black Hippy Remix)
(dir. The ICU)","Offical music video for ""Black Lip Bastard (Black Hippy Remix)"".
Directed by The ICU.",5:36,"Aug 9, 2012",Released,Yes,https://www.youtube.com/watch?v=y9kncHM9nFk
"good kid, m.A.A.d city","Bitch, Don't Kill My Vibe
(dir. Will Holman, The Little Homies & Mike Mihail)","Official music video for ""Bitch, Don't Kill My Vibe"".
Directed by Will Holman, The Little Homies & Mike Mihail.",5:12,"May 13, 2013",Released,Yes,https://www.youtube.com/watch?v=GF8aaTu2kg0
"good kid, m.A.A.d city","Swimming Pools (Drank)
(dir. Jerome D. Hurd)","Official music video for ""Swimming Pools (Drank)"".
Directed by Jerome D. Hurd.",3:51,"Aug 3, 2013",Released,Yes,https://www.youtube.com/watch?v=B5YNiCfWC3A
"good kid, m.A.A.d city","Poetic Justice  
(feat. Drake) (dir. Dave Free, Dangeroo Kipawaa & The Little Homies)","Official music video for ""Poetic Justice"", featuring Drake.
Directed by Dave Free, Dangeroo Kipawaa & The Little Homies.",5:28,"Feb 22, 2013",Released,Yes,https://www.youtube.com/watch?v=yyr2gEouEMM
"good kid, m.A.A.d city","Backseat Freestyle
(dir. Dave Free, Jerome Hurd & Kendrick Lamar)","Official music video for ""Backseat Freestyle"".
Directed by Dave Free, Jerome Hurd & Kendrick Lamar.",4:44,"Jan 8, 2013",Released,Yes,https://www.youtube.com/watch?v=EZW7et3tPuQ
"good kid, m.A.A.d city","Ab-Soul - Illuminate
(feat. Kendrick Lamar) (Dir. Fredo Tovar & Scott Fleishman)","Official music video for ""Illuminate"", featuring Kendrick Lamar. Directed by Fredo Tovar & Scott Fleishman.",6:04,"Jan 15, 2013",Released,Yes,https://www.youtube.com/watch?v=DszIoEP8OAo
"good kid, m.A.A.d city","Sing About Me (Part 1)
(perf. Eddie Peake) (dir. Darren Romanelli)","Part 1 of the Offical music video for ""Sing About Me"", featuring Eddie Peake as a Performer. Part 2 was never released for unknown reasons.
Directed by Darren Romanelli. ",3:43,"Dec 20, 2013",Released,Yes,https://www.youtube.com/watch?v=wjmd1nAH3hg
"good kid, m.A.A.d city","good kid, m.A.A.d city (Short Film)
(dir. Kahlil Joseph)
(m.A.A.d, Kahlil Joseph: Double Conscience)","Official short film for ""good kid, m.A.A.d, city""
Directed by Kahili Joseph",14:53,2014,Film,Yes,https://www.youtube.com/watch?v=cGkUpjyL7y8?si=ldu6pHtL8G5Ml1ya
"good kid, m.A.A.d city","Sing About Me (Part 2)
(dir. Darren Romanelli?)","The unreleased Part 2 of the Offical music video for ""Sing About Me"". It was announced on Decemeber 20th, 2013, with a January, 2014 release date. 
But it never released for unknown reasons. 
Most likely Directed by Darren Romanelli, though uncomfirmed.",?:??,N/A,Unreleased,No,N/A
"good kid, m.A.A.d city","The Recipe
(feat. Dr. Dre) (dir. ???)","Unreleased music video for ""The Recipe"", featuring Dr. Dre. it was filmed in May 2012 at a mansion in LA, and was scheduled for a Late June/Early July 2012 release date, but it didn't come out. in early 2013, Kendrick claimed that it was still gonna release, but it didn't for unknown reasons.",?:??,N/A,Unreleased,No,"https://www.rap-up.com/2012/05/30/on-set-of-kendrick-lamar-and-dr-dres-the-recipe-video/
https://kendricklamarera.wordpress.com/2012/06/05/fans-can-expect-the-recipe-music-video-in-2-3-weeks/
https://web.archive.org/web/20120618050232/https://www.mtv.com/news/articles/1687568/kendrick-lamar-the-recipe.jhtml"
"9 Released
0 Unreleased
9 On Streaming
0 Not On Streaming","Tu Pimp A Caterpillar [V1]
(How Much A Dollar Cost, To Pimp A Butterfly, To Pimp A Butterfly: a blank letter by Kendrick Lamar)","(10/22/2012) (good kid, m.A.A.d city is released)
(02/07/2014) (Kendrick vists and performs in South Africa)",,"From 2012 to 2014, Kendrick worked on his next album titled ""Tu Pimp A Caterpillar"" in reference to the rapper Tupac. Work was proceeding like normal until Kendrick took a trip to South Africa in February 2014 to perform. When he visited, it moved him so much to the point where he completely scrapped the songs from this project for a more ambitious project. That project would turn into ""To Pimp A Butterfly"".",,,
Tu Pimp A Caterpillar,"A$AP Rocky - Fuckin' Problems 
(feat. Kendrick Lamar, Drake & 2 Chainz) (dir. Clark Jackson & Samantha Lecca) ","Official music video for ""Fuckin' Problems"", featuring Kendrick Lamar, Drake & 2 Chainz. 
Directed by Clark Jackson & Samantha Lecca.",3:52,"Dec 4, 2012",Released,Yes,https://www.youtube.com/watch?v=liZm1im2erU
Tu Pimp A Caterpillar,"The Lonely Island - YOLO
(feat. Adam Levine & Kendrick Lamar) (dir. Akiva Schaffer & Jorma Taccone)","Official music video for ""YOLO"", featuring Adam Levine & Kendrick Lamar. 
Directed by Akiva Schaffer & Jorma Taccone.",3:13,"Jan 26, 2013",Released,Yes,https://www.youtube.com/watch?v=z5Otla5157c?si=opolM6lgLXbeoFec
Tu Pimp A Caterpillar,"50 Cent - We Up
(feat. Kendrick Lamar) (dir. Elf Rivera)","Official music video for ""We Up"", featuring Kendrick Lamar.
Directed by Elf Rivera.",3:19,"Mar 25, 2013",Released,Yes,https://www.youtube.com/watch?v=-6jhuhsG-7w?si=5fQXR7LG1QPXXANQ
Tu Pimp A Caterpillar,"Miguel - How Many Drinks? (Remix)
(feat. Kendrick Lamar) (dir. Constellation Jones)","Official music video for ""How Many Drinks? (Remix)"", featuring Kendrick Lamar.
Directed by Constellation Jones.",4:29,"Apr 22, 2013",Released,Yes,https://www.youtube.com/watch?v=nY-Xk3sGr6Q?si=sTlB-OJH6BE3TF1w
Tu Pimp A Caterpillar,"T.I. - Memories Back Then
(feat. Kendrick Lamar, Kris Stephens & B.o.B) (dir. PhillyFlyBoy)","Official music video for ""Memories Back Then"", featuring Kendrick Lamar, Kris Stephens & B.o.B. 
Directed by PhillyFlyBoy.",4:56,"Apr 22, 2013",Released,Yes,https://www.youtube.com/watch?v=a2Gh3VdnXQs?si=1RSHf-oSds2NXxBM
Tu Pimp A Caterpillar,"Bridget Kelly - Street Dreamin'
(feat. Kendrick Lamar) (dir. Clifton Bell)","Official music video for ""Street Dreamin"", featuring Kendrick Lamar. 
Directed by Clifton Bell.",3:41,"Jun 25, 2013",Released,Yes,https://www.youtube.com/watch?v=P1iU9gZx_Ho?si=cHpdGp2fnTttuC2E
