Era,Name,Notes,Designer(s),Art Type,Image,Project Type,Use,Link(s)
Eternal Atake [V1],Birdie [Single Cover],Cover for the single release of Birdie,Unknown,Digital ,,Front Cover,Used,
Eternal Atake [V1],Rich Forever Leaked,Cover for the song Rich Forever Leaked,Unknown,Photo,,Front Cover,Used,
Eternal Atake [V1],New Patek,"Cover for the song New Patek. For whatever reason, the only version of this cover is extremely low quality.",Matt Meiners,Digital,,Front Cover,Used,
Eternal Atake [V1],Travis Scott - Watch,"Cover art for the single Watch, featuring Lil Uzi Vert & Kanye West",Unknown ,Digital,,Front Cover,Used,
Eternal Atake [V1],Juice WRLD - Wasted [Single Cover],"Cover art for the SoundCloud release of Wasted, featuring Lil Uzi Vert",majinboof,Digital,,Front Cover,Used,
Eternal Atake [V1],Desto Dubb - Bankteller,"Cover art for the song Bankteller, featuring Lil Uzi Vert, Lil Pump, SmokePurpp & 03 Greedo. The cover art is a recreation of a real photo.",,Digital,,Front Cover,Used,
Eternal Atake [V1],Pressa - 420 In London,"Cover for the song 420 In London, featuring Lil Uzi Vert",,Digital,,Front Cover,Used,
Eternal Atake [V1],Lil Pump - Multi Millionaire          [Single Cover],"Cover for the song Multi Millionaire, featuring Lil Uzi Vert",,Digital,,Front Cover,Used,
Eternal Atake [V1],Shabazz PBG - Shells,"Cover for the song Shells, featuring Lil Uzi Vert",,Digital,,Front Cover,Used,
Eternal Atake [V1],Cassius Jay - Big Racks,"Cover for the song Racks, featuring Lil Uzi Vert",,Digital,,Front Cover,Used,
Eternal Atake [V1],LAMB$ - Fighting Demons,"Cover for the song Fighting Demons, featuring Lil Uzi Vert",,Digital,,Front Cover,Used,
Eternal Atake [V2],Eternal Atake       [2019 Cover],"Cover that was most likely to be used for the 2019 release of Eternal Atake, as it contains lyrics from Sanguine Paradise, which was finalized post Eternal Atake V1 sessions.",Unknown,Digital ,,Front Cover,Unused,
Eternal Atake [V2],Free Uzi,Cover for the song Free Uzi,Unknown,Photo,,Front Cover,Used,
Eternal Atake [V2],Free Uzi [Unedited],Unedited & Uncropped version of Free Uzi's cover,Unknown,Photo,,Extra,Used,
Eternal Atake [V2],That's a Rack,Cover for the song That's a Rack,Unknown,Digital,,Front Cover,Used,
Eternal Atake [V2],That's a Rack [Extended Cover],"Features a more saturated color palette, can be seen on the Youtube release.",Unknown,Digital,,Extra,Used,
Eternal Atake [V2],Sanguine Paradise,Cover for the song Sanguine Paradise,alterna.tiff,Digital ,,Front Cover,Used,
Eternal Atake [V2],Sanguine Paradise [Extended Cover],"Features a more saturated color palette, zoomed in background & a badly cut-out Uzi. Can be seen on the Youtube release.",alterna.tiff,Digital ,,Extra,Used,
Eternal Atake [V2],Lud Foe - Show U Off,"Cover for the song Show U Off, featuring Lil Uzi Vert",Unknown ,Digital ,,Front Cover,Used,
Eternal Atake [V2],Lud For - Show U Off,"Alternative version with brighter visuals, and colors swapped on the neon lights.",Unknown ,Digital ,,Alternate,Unused,
Eternal Atake [V2],Lil Keed - Pull Up,"Cover for the song Pull Up, featuring Lil Uzi Vert",Unknown ,Digital,,Front Cover,Used,
Eternal Atake [V2],HiDoraah - Rivals,"Cover for the song Rivals, featuring Lil Uzi Vert",Unknown,Digital ,,Front Cover,Used,
Eternal Atake [V2],TM88 - Slayerr,Cover for the song Slayerr,Unknown ,Digital,,Front Cover,Used,
Eternal Atake [V2],A Boogie wit da Hoodie - Reply  [Single Cover],"Cover for the single release of Reply, featuring Lil Uzi Vert",Unknown,Digital ,,Front Cover,Used,
Eternal Atake [V3],Eternal Atake [Explicit],"Cover for the long awaited 2nd studio album from Lil Uzi Vert; ""Eternal Atake"". Cover was chosen during a poll ran by Uzi on his twitter",,Digital ,,Front Cover,Used,https://ibb.co/twbC8tQp
Eternal Atake [V3],"Eternal Atake
[Clean]",Eternal Atake cover without the explicit tag,,Digital ,,Front Cover,Used,
Eternal Atake [V3],Eternal Atake [Animated Cover],"Animated cover art for Eternal Atake , taken from Tidal.
Full MP4 is linked",,Digital ,,Front Cover,Used,https://mega.nz/file/TR0RSRRA#c0YPZnThRu7pogBPLMoMmPCqfRd5gASD23TX0DmanJ8
Eternal Atake [V3],Eternal Atake (Deluxe) - LUV vs. The World 2,"Cover for the deluxe of Eternal Atake, aswell for LUV vs. The World 2.",Farris,Digital ,,Front Cover,Used,https://ibb.co/CpvFbwfk
Eternal Atake [V3],Eternal Atake (Deluxe) - LUV vs. The World 2 [Animated Cover],"Animated cover for LUV vs. The World 2
Filetype isn't supported on the sheets, full MP4 is linked.",Farris,Digital,,Front Cover,Used,https://mega.nz/file/mIt0mJqT#uTm0clQAuWmnzhoUPSw9ZRggIkPlCC18vXFQtlM53yQ
Eternal Atake [V3],"Eternal Atake
[Back Cover]","Back cover to Eternal Atake, reuses an unused alt cover for Eternal Atake, adding rips to show track names.",Farris,Digital,,Back Cover,Used,https://ibb.co/0jKkC6Q7
Eternal Atake [V3],Eternal Atake (Deluxe) - LUV vs. The World 2 [Back Cover],"Back Cover to LUV vs. The World 2, reuses the original cover, but without Uzi. Features a new visual to the right and a brightened background.",Farris,Digital ,,Back Cover,Used,https://ibb.co/hJJyYr0J
Eternal Atake [V3],"Eternal Atake
[Cover 1]","First cover shown for the 2020 Eternal Atake and would be referred to as ""Album cover 1"". A Poll was ran the same day it was revealed, and ended up losing horribly with 6% of the votes.",,Digital,,Front Cover,Unused,https://ibb.co/NgwVFTNm
Eternal Atake [V3],"Eternal Atake 
[Cover 2]","Second cover shown for the 2020 Eternal Atake and would be referred to as ""Album cover 2"". A Poll was ran the same day it was revealed, and ended up making two polls, winning both at 62% of each polls votes. The one revealed has slight differences from the current one, most noticeably being less shine on Planet Uzi.",,Digital,,Front Cover,Used,https://ibb.co/v649R99S
Eternal Atake [V3],"Eternal Atake
[Cover 3]","Third and final cover revealed for the 2020 Eternal Atake and would be referred to as ""Album cover 3"". A poll was ran the same day it was revealed, and ended up making two polls, getting 2nd place in both with 32% of the votes in the first poll, then 38% of the votes in the second. This cover would later be revised without any signs.",Farris,Digital,,Front Cover,Unused,https://ibb.co/4gPvrbhc
Eternal Atake [V3],"Eternal Atake
[Cover 3, No Signs]","Cover 3 without any signs, as Uzi was complying with his fans who thought it would've been better without any signs. This cover would later be reused for the back cover of Eternal Atake. Features slightly less saturated colors than the version with signs.",Farris,Digital,,Alternate,Unused,https://ibb.co/HfRM2j5T
Eternal Atake [V3],Fustal Shuffle 2020,"Cover for Futsal Shuffle 2020, reuses the Planet Uzi on the 1017 vs. The World promo that Farris posted. ",Artxstic & Farris,Digital ,,Front Cover,Used,https://ibb.co/m5f8xf2q
Eternal Atake [V3],Futsal Shuffle 2020 [Rough Draft],"Likely created during the process of the actual creation of the Futsal Shuffle 2020 cover. Missing the girls, 2020 on Uzi's shirt and Planet Uzi on the top left. Features writing that says ""Futsal Shuffle 2020""",Artxstic,Digital ,,Front Cover,Unused,https://ibb.co/zT83tz6L
Eternal Atake [V3],That Way,"Cover for the song That Way, which later sparked a legal feud between Uzi's team and the artist who created the inspiration for this cover. The original artist didn't like the way their art had been used, and according to Artxstic, he hadn't known who the art belonged to, due to the reference image being low quality to the point where he couldn't see any watermarks. Uzi would end up sorting it out with the original artist, so the cover could stay up.",Artxstic,Digital ,,Front Cover,Used,
Baby Pluto Era,Sasuke,Cover for the song Sasuke.,,Digital ,,Front Cover,Used,
Baby Pluto Era,Just Meh,"Posted to Uzi's Twitter with the caption ""Just Meh ."", very obviously mimicking Playboi Carti's song ""@ MEH"", which was released the same day this cover was revealed. Unknown if this was ever gonna be for release, but definitely was a cover for something, even if we don't know exactly what song it's for.",Farris,Digital ,,Front Cover,Unused,
Baby Pluto Era,"Just Meh
[Original Photo]
","Original picture that was used for the ""Just Meh ."" cover which was posted on IG by Ian Connor.",,Digital ,,Extra,Unused,
Baby Pluto Era,NoCap - Count A Million,"Cover for the song Count A Million, featuring Lil Uzi Vert",,Digital ,,Front Cover,Used,
Baby Pluto Era,A Boogie wit da Hoodie & Don Q- Flood My Wrist [Single Cover],"Cover for the song Flood My Wrist, featuring Lil Uzi Vert",,Digital ,,Front Cover,Used,
Baby Pluto Era,StaySolidRocky - Party Girl (Remix),"Cover for the song for the remix of Party Girl, featuring Lil Uzi Vert",,Digital ,,Front Cover,Used,
Baby Pluto Era,Lil Gnar - Diamond Choker [Single Cover],"Cover for the song Diamond Choker, featuring Lil Uzi Vert",,Photo,,Front Cover,Used,
Pluto x Baby Pluto,Pluto x Baby Pluto [Explicit],"Cover for Future & Lil Uzi Vert's collaboration album ""Pluto x Baby Pluto""",Sergey Nivens,Digital ,,Front Cover,Used,
Pluto x Baby Pluto,Pluto x Baby Pluto [Clean],"Cover for Pluto x Baby Pluto, with no explicit tag.",Sergey Nivens,Digital,,Front Cover,Used,
Pluto x Baby Pluto,Pluto x Baby Pluto [Explicit Eternal Atake 2 Cover],Cover that was put on all albums & mixtapes that was available on all streaming platforms at the time Eternal Atake 2 was announced. ,Sergey Nivens,Digital ,,Alternate,Used,
Pluto x Baby Pluto,Pluto x Baby Pluto [Clean Eternal Atake 2 Cover],Cover that was put on all albums & mixtapes that was available on all streaming platforms at the time Eternal Atake 2 was announced. ,Sergey Nivens,Digital,,Alternate,Used,
Pluto x Baby Pluto,Pluto x Baby Pluto (Deluxe) [Explicit],"Cover for the deluxe version of Future & Lil Uzi Vert's collaboration album ""Pluto x Baby Pluto""",Sergey Nivens,Digital,,Front Cover,Used,
Pluto x Baby Pluto,Pluto x Baby Pluto (Deluxe) [Clean],"Cover for Pluto x Baby Pluto (Deluxe), with no explicit tag.",Sergey Nivens,Digital,,Front Cover,Used,
Pluto x Baby Pluto,Pluto x Baby Pluto [Explicit Eternal Atake 2 Cover],Cover that was put on all albums & mixtapes that was available on all streaming platforms at the time Eternal Atake 2 was announced. ,Sergey Nivens,Digital ,,Alternate,Used,
Pluto x Baby Pluto,Pluto x Baby Pluto [Clean Eternal Atake 2 Cover],Cover that was put on all albums & mixtapes that was available on all streaming platforms at the time Eternal Atake 2 was announced. ,Sergey Nivens,Digital,,Alternate,Used,
Pluto x Baby Pluto,Pluto x Baby Pluto (Deluxe) [Back Cover],Back cover for the deluxe release of Pluto x Baby Pluto,Unknown ,Digital ,,Back Cover,Used,
Pluto x Baby Pluto,"Patek 
[Explicit] ",Cover for the single release of Patek.,,Digital ,,Front Cover,Used,
Pluto x Baby Pluto,"Patek 
[Clean]","Cover for the single release of Patek, this time with no explicit tag.",,Digital ,,Front Cover,Used,
Pluto x Baby Pluto,"Over Your Head
[Explicit]",Cover for the single release of Over Your Head.,,Digital,,Front Cover,Used,
Pluto x Baby Pluto,"Over Your Head
[Clean]","Cover for the single release of Over Your Head, this time with no explicit tag.",,Digital ,,Front Cover,Used,
Pluto x Baby Pluto,Pluto x Baby Pluto [Stock Photo],"Original stock image for Pluto x Baby Pluto, photographed by Sergey Nivens. Differences from the stock image and release cover being that the soccer ball is edited out, and the whole image being way more vibrant.",Sergey Nivens,Digital,,Extra,Used,
Forever Young,"Forever Young
[Front Cover]","Cover for the scrapped 2021 album; Forever Young. Lots of references from old Uzi projects can be seen all around the cover, along with 2 Planet Uzi appearances.

This is technically only a partial version of the cover, as this image was modified with AI to remove a TikTok tag that originally was on the cover.",jleovisions,Digital,,Front Cover,Unused,
Forever Young,Popp Hunna - Adderall (Corvette Corvette) (Remix) [Single Cover],,,Digital ,,Front Cover,Used,
Forever Young,Doe Boy - LOW KEY [Single Cover],"Cover for the single release of LOW KEY, featuring Lil Uzi Vert. Done by the same person who made the Futsal Shuffle 2020 cover.",Arxstic,Digital ,,Front Cover,Used,
Forever Young,"FXXXY - Yeah Kool
",,,Digital,,Front Cover,Used,
Forever Young,"ZillaKami - BADASS
[Single Cover]",,,Digital,,Front Cover,Used,
Forever Young,Bebe Rexha - Die For A Man (Galantis Remix),,,Digital,,Front Cover,Used,
Forever Young,"Bebe Rexha - Die For A Man (Galantis Remix)
[Original Photo]",Full photo that's shown on the Die For A Man cover,,Photo,,Extra,Used,
Forever Young,Internet Money & Gunna - His & Hers [Single Cover],,,Digital,,Front Cover,Used,
Forever Young,"Pi'erre Bourne - Sossboy 2 
[Single Cover]",,,Digital,,Front Cover,Used,
Forever Young,King Kobi - Stay Wita Stick,,,Digital,,Front Cover,Used,
Forever Young,"Kidd G - Teenage Dream 2 
[Single Cover]",,,Digital,,Front Cover,Used,
Forever Young,NGeeYL - OFF WHITE,,,Digital,,Front Cover,Used,
Pink Tape [V1],"Pink Tape [V1]
(Delta Pink)","Cover art for the first iteration of Pink Tape, when it was still undergoing it's ""Delta Pink"" concept. Cover showcases what Uzi's (at the time) persona ""Astrokat"" looks like",,Digital,,Front Cover,Used,
Pink Tape [V1],Demon High,"Cover art for the single ""Demon High""",,Digital,,Front Cover,Used,
Pink Tape [V1],"Trippie Redd - Holy Smokes 
[Single Cover]","Cover for the single release of Holy Smokes, featuring Lil Uzi Vert.",Stephen Gibb,Digital,,Front Cover,Used,
Pink Tape [V1],Meek Mill - Blue Notes 2 [Single Cover],"Cover for the song Blue Notes 2, featuring Lil Uzi Vert",,Digital,,Front Cover,Used,
Pink Tape [V1],"iann dior - V12 
[Single Cover]","Cover for the song V12, featuring Lil Uzi Vert",,Digital ,,Front Cover,Used,
Pink Tape [V2],"Just Wanna Rock 
[Explicit]","Cover art for the single release of Just Wanna Rock, done by Farris.",Farris,Digital,,Front Cover,Used,
Pink Tape [V2],"Just Wanna Rock
[Clean]","Cover art for the single release of Just Wanna Rock, without the explicit tag. Can be seen on Farris' website",Farris,Digital ,,Front Cover,Used,
Pink Tape [V2],"Just Wanna Rock 
[Sped Up Version]","Cover art for the sped up version of Just Wanna Rock, do we need this at all?",,Digital,,Front Cover,Used,
Pink Tape [V2],,,,Digital ,,Front Cover,Used,
Pink Tape [V2],,,,Digital,,Front Cover,Used,
Pink Tape [V2],,,,Photo,,Front Cover,Used,
Pink Tape [V2],,,,Photo,,Front Cover,Used,
RED & WHITE,RED & WHITE,"Cover art for Uzi's EP titled RED & WHITE. This cover is AI generated photo of rehab, with edits done to add the covers to Uzi's mixtapes & album covers to the wall. Uzi can also be seen painting one of the unused covers for Pink Tape that Farris had made.",,Digital,,Front Cover,Used,
Pink Tape [V3],"Pink Tape
[Explicit]",Cover for Pink Tape.,,Digital,,Front Cover,Used,
Pink Tape [V3],"Pink Tape
[Clean]","Cover for Pink Tape, with no explicit tag.",,Digital,,Front Cover,Used,
Pink Tape [V3],"Pink Tape
[Explicit Eternal Atake 2 Cover]",Cover that was put on all albums & mixtapes that was available on all streaming platforms at the time Eternal Atake 2 was announced. ,,Digital,,Alternate,Used,https://dn710105.ca.archive.org/0/items/mbid-04f208ea-642d-4c15-89da-eaccb2dcfb76/mbid-04f208ea-642d-4c15-89da-eaccb2dcfb76-40446615839.jpg
Pink Tape [V3],"Pink Tape
[Clean Eternal Atake 2 Cover]",Cover that was put on all albums & mixtapes that was available on all streaming platforms at the time Eternal Atake 2 was announced. ,,Digital,,Alternate,Used,https://dn710107.ca.archive.org/0/items/mbid-2b4dade9-f9d6-4c6f-a960-df24a2bdf0d7/mbid-2b4dade9-f9d6-4c6f-a960-df24a2bdf0d7-40446618480.jpg
Pink Tape [V3],"Pink Tape
[Alternate 1]","One of a few alternate covers for this project. Was available on digital copies of the album, specifically made with this cover",Farris,Digital,,Alternate,Unused,https://imgur.gg/f/xheOHIw
Pink Tape [V3],"Pink Tape
[Alternate 2]","Another version of Alternate 1, this time without the eye in the smoke cloud.",Farris,Digital,,Alternate,Unused,https://ibb.co/V0v0GkH2
Pink Tape [V3],"Pink Tape
[Alternate 3]","Shares the same background as alternative 1 & 2, but with Uzi ascending into the air and a less destroyed scene.",Farris,Digital,,Alternate,Unused,https://ibb.co/Y48vjx0y
Pink Tape [V3],"Pink Tape
[Alternate 4]",Another alternative cover with Uzi ascending. This cover is likely the version of the Pink Tape cover that Uzi is painting on the RED & WHITE cover.,Farris,Digital,,Alternate,Unused,https://ibb.co/wZHdL7f2
Pink Tape [V3],"Pink Tape
[Alternate 5]","Similar to Alternate 4, but with a lot more detail on the background.",Farris,Digital,,Alternate,Unused,https://ibb.co/BV0T02XP
Pink Tape [V3],"Pink Tape
[Alternate 6]","Alternate Pink Tape cover, along with the Pink Tape logo.",,Digital,,Alternate,Unused,https://imgur.gg/f/M1knZDO
Pink Tape [V3],"Pink Tape
[Alternate 7]",Alternative Pink Tape cover.,,Digital,,Alternate,Unused,https://ibb.co/23j3CfLH
Pink Tape [V3],"Pink Tape
[Alternate 8]","Alternative Pink Tape cover that reuses the photo seen on alternative 1 & 2. Interestingly, this cover shares a design that very resemblant of the Luv Is Rage 2 cover.",Farris,Digital,,Alternate,Unused,https://ibb.co/tGpntp5
Pink Tape [V3],"Pink Tape
[Alternate 9]",Horrid alternative Pink Tape Cover. Posted on Uzi's IG story without a caption,Uzi,Digital,,Alternate,Unused,https://ibb.co/cSCyR1NK
Pink Tape [V3],"Pink Tape
[Rough Drafts]","Early drawings that can be seen on Pink Tape [Alternate 9]'s cover. Posted with the caption ""Had so much fun working on this album"" & ""Pink !!!"". The wording can imply that Uzi had a part making this drawings, and took creative direction when it came to this cover.",Uzi,Photo,,Extra,Unused,https://ibb.co/358knGR3
Pink Tape [V3],"Pink Tape
[Rough Drafts]","More alternative covers for Pink Tape, with one we don't have in high quality. A majority of the covers seen are all from the same photoshoot",,Photo,,Extra,Unused,https://ibb.co/B2LjgW9W
Pink Tape [V3],"Pink Tape
[Rough Drafts]","More alternative covers for Pink Tape, with one we don't have in high quality. A majority of the covers seen are all from the same photoshoot",,Photo,,Extra,Unused,https://ibb.co/nMgKv9t6
Pink Tape [V3],"Pink Tape
[Rough Drafts]","More alternative covers for Pink Tape, with one we don't have in high quality. Includes some alternate takes for photos that'd later be used for other Pink Tape Covers.",,Photo,,Extra,Unused,
Pink Tape [V3],"Pink Tape
[Rough Drafts]",Partial of a Pink Tape cover. This cover isn't seen anywhere on the other photos that showcase all the other covers.,,Photo,,Extra,Unused,https://ibb.co/jk3fYX5g
Pink Tape [V3],"Pink Tape
[Rough Drafts]",Another Pink Tape cover featuring the girls from the other covers. Uzi isn't present for this cover. (if it was ever considered to be used as a cover),,Photo,,Extra,Unused,https://imgur.gg/f/MUdzupn
Pink Tape [V3],"Pink Tape
 [Back Cover]","Back cover for the physical release of Pink Tape. Uses the same photo that'd be used in Pink Tape alternate covers 1, 2 & 8.",,Digital ,,Back Cover,Used,https://ibb.co/3YGd60Zm
Pink Tape [V3],"Pink Tape
[Insert Side 1]",Side 1 of the insert found inside Pink Tape vinyls,,Photo,,Physical Packaging,Used,https://ibb.co/v4Gfz09Q
Pink Tape [V3],"Pink Tape
[Insert Side 2]",Side 2 of the insert found inside Pink Tape vinyls,,Photo,,Physical Packaging,Used,https://ibb.co/SDrDVkjy
Barter 16,Barter 16,"The cover revealed for what would've been Uzi's 4th studio album, ""Barter 16"". Was first teased on Uzi's IG on Young Thug's birthday, captioned ""Happy birthday @thuggerthugger1 Barter 16 🅱️ soon 🩸 Love You 💚"" . The cover is an exact reference to Young Thug's 2015 mixtape Barter 6, hence the name for Uzi's being Barter 16",,Digital ,,Front Cover,Unused,https://imgur.gg/f/vglwC1K
Barter 16,"Barter 16
[Farris' Version]","Alternative cover done by Farris, which is still currently up for sale on his inprnt store titled ""b16 throwaway"". Unknown if it was ever gonna be used as a cover for the album during it's creation, but it's safe to say it was likely gonna be used as an alternative.",Farris,Digital ,,Alternate,Unused,https://imgur.gg/f/Qp6yONA
Barter 16,Mike WiLL Made-It - Blood Moon,Cover art for the single Blood Moon by Lil Uzi Vert.,,Digital,,Front Cover,Used,
Luv Is Rage 3 [V2],NFL,Cover art for the single NFL,,Digital ,,Front Cover,Used,https://imgur.gg/f/ZAUoaTP
Luv Is Rage 3 [V2],Red Moon,Cover art for the single Red Moon with a quote from Uzi,,Digital ,,Front Cover,Used,https://imgur.gg/f/uQbgWHE
Luv Is Rage 3 [V2],"NGeeYL - 
On Me [sped up]","Cover art for the sped up version of On Me, featuring Lil Uzi Vert",,Digital ,,Front Cover,Used,
Eternal Atake 2,Eternal Atake 2,"Cover art for Lil Uzi Vert's 4th studio album Eternal Atake 2, designed by Farris. ",Farris,Digital ,,Front Cover,Used,https://imgur.gg/f/iouZquq
Eternal Atake 2,Eternal Atake 2 [Animated Cover],"Animated cover for Eternal Atake 2, used on streaming platforms like Apple Music
Full MP4 is linked",Farris,Digital ,,Front Cover,Used,https://mega.nz/file/Dc931QgD#EyIdKfx1S8Zlt8TGzNkDEmyEiJAARe_4l9nwpDMaB2g
Eternal Atake 2,"Uzi The Earthling!
(TV Show Theme)",Single cover for the promotional track. This cover would go on to be used as the Eternal Atake 2 logo.,,Digital ,,Front Cover,Used,https://imgur.gg/f/HOvaNvY
Eternal Atake 2,"Eternal Atake 2
[Logo]","Alternative version of the EA2 logo, only being seen on the calypsovirtual website",,Digital ,,Extra,Unused,
Eternal Atake 2,"Eternal Atake 2
[Typeface Logo]",Typeface for the title of the album.,,Digital ,,Extra,Unused,
Eternal Atake 2,"Eternal Atake 2
[Animated Logo]","Animated version of the logo seen on the cover of Uzi The Earthling! (TV Show Theme), promotional covers and the corner of the Eternal Atake 2 cover. Can be found on Lil Uzi Vert's store.",,Digital,,Extra,Promotional,https://imgur.gg/f/Gf5QuK5
ALL WHITE,ALL WHITE,"The cover art for what would've been Uzi's 5th studio album; ALL WHITE. This cover was posted on Uzi's IG story on March 3rd 2025. This cover would also be used for the 2nd single of this era ""Hell Raiser""",,Digital,,Front Cover,Used,
ALL WHITE,Double See,"""Cover art"" for the first single Uzi released for ALL WHITE, Double See.",,Photo,,Front Cover,Used,
LP 5,Chanel Boy,"Cover art for the first of four singles released during Uzi's current era, Chanel Boy.",,Digital,,Front Cover,Used,https://ibb.co/fzqvZhM4
LP 5,"Chanel Boy
[Animated Cover]","Animated cover for Chanel Boy, used on streaming platforms like Apple Music
Full MP4 is linked",,Digital,,Front Cover,Used,https://mega.nz/file/eJ8GxYRA#Q11X47glKmmxOEXexZvabuDF_sU9zy_M2VQTRd2jA18
LP 5,"Chanel Boy
[Alternative Cover]","Alternative Chanel Boy cover without text, more blur and a different color scheme. Was initially the original cover before the text was added",,Digital,,Alternate,Unused,
LP 5,Relevant ,"Cover art for the second of four singles released during Uzi's current era, Relevant.",Farris,Digital,,Front Cover,Used,https://ibb.co/cGKhM1F
LP 5,"Relevant 
[Animated Cover]","Animated cover for Relevant, used on streaming platforms like Apple Music
Full MP4 is linked",Farris,Digital,,Front Cover,Used,https://mega.nz/file/Gd1lGAqC#I2xdL8ZGoydTL1wOqVp5JDdOX7pnQtncdmIo3FhK6Ro
LP 5,Regular ,"Cover art for the third of four singles released during Uzi's current era, Regular.",,Digital,,Front Cover,Used,https://ibb.co/Lhx0YxL6
LP 5,What You Saying,"Cover art for the fourth single released during Uzi's current era, What You Saying.",,Digital,,Front Cover,Used,https://ibb.co/0jr8XqHR
,,more soon (ill continue to add links then work on more single covers),,,,,,
